index,Food,Meat,"Fish, seafood and other marine products",Dairy products and eggs,Bakery and cereal products (excluding baby food),"Fruit, fruit preparations and nuts",Vegetables and vegetable preparations,Other food products and non-alcoholic beverages,Food purchased from restaurants
1989-04-01,75.9,74.4,77.6,77.0,77.5,82.1,85.3,84.5,68.3
1989-05-01,76.4,73.8,77.7,77.3,77.2,83.6,92.4,84.2,68.6
1989-06-01,76.9,74.5,77.7,77.4,77.4,84.5,96.6,84.2,68.7
1989-07-01,77.6,75.7,77.9,77.5,78.1,86.3,95.7,85.1,69.5
1989-08-01,77.1,75.6,78.4,77.7,78.5,88.1,82.8,85.5,69.6
1989-09-01,76.8,76.5,77.8,78.4,78.2,85.3,74.9,86.2,69.9
1989-10-01,77.1,76.8,76.6,79.0,79.3,84.1,77.9,85.3,70.1
1989-11-01,77.0,75.9,76.3,79.2,79.1,81.3,82.4,84.8,70.4
1989-12-01,76.6,76.6,75.5,79.2,79.8,81.0,75.3,83.6,70.5
1990-01-01,78.5,77.8,76.3,79.5,80.3,81.4,93.1,86.0,70.9
1990-02-01,79.2,76.4,76.6,80.0,80.5,83.6,102.4,86.9,71.0
1990-03-01,79.4,77.1,76.1,79.7,80.7,87.3,98.0,86.9,71.3
1990-04-01,78.8,77.9,75.8,79.5,81.2,85.9,84.8,87.6,71.7
1990-05-01,79.0,78.4,76.2,79.0,80.6,88.1,84.8,87.0,72.2
1990-06-01,80.1,80.8,76.9,79.2,81.0,92.8,88.7,86.9,72.2
1990-07-01,80.6,81.1,76.6,79.2,80.8,96.4,88.5,87.7,72.8
1990-08-01,79.9,80.4,76.9,79.5,80.4,96.0,79.4,87.1,73.0
1990-09-01,79.7,81.5,77.2,81.4,81.0,90.5,72.4,87.8,73.1
1990-10-01,80.1,81.9,77.0,81.7,81.5,86.7,78.6,87.8,73.6
1990-11-01,80.2,81.3,76.6,81.9,81.8,85.9,82.1,87.1,73.9
1990-12-01,79.9,81.9,77.0,82.2,82.3,85.6,77.5,84.3,74.2
1991-01-01,83.2,82.1,78.3,82.2,82.6,92.7,83.2,89.4,79.5
1991-02-01,83.2,81.4,78.0,82.2,81.7,95.2,83.7,89.2,79.6
1991-03-01,83.5,80.9,78.0,83.3,82.2,99.2,80.7,89.5,79.8
1991-04-01,83.8,80.0,77.8,82.8,82.0,98.4,89.8,89.4,80.0
1991-05-01,84.0,79.4,78.8,82.6,81.0,100.3,93.7,88.7,80.3
1991-06-01,85.5,80.5,79.1,82.6,81.8,102.9,110.5,88.7,80.3
1991-07-01,84.9,80.5,79.2,82.7,81.1,105.4,100.3,88.3,80.4
1991-08-01,84.0,80.3,79.8,82.6,81.2,105.6,83.2,88.6,80.6
1991-09-01,82.9,79.9,79.9,82.2,81.1,100.8,74.0,87.7,80.7
1991-10-01,82.1,79.0,79.2,82.2,81.4,93.0,72.1,87.5,80.9
1991-11-01,82.3,79.3,78.0,82.9,81.5,89.9,79.8,85.9,81.1
1991-12-01,81.7,78.6,77.4,83.0,81.6,85.9,77.7,84.2,81.2
1992-01-01,82.4,78.6,78.7,83.1,81.2,87.4,81.9,86.2,81.4
1992-02-01,82.5,78.2,78.7,83.1,81.0,88.1,86.9,84.8,81.5
1992-03-01,82.9,77.9,79.0,82.8,81.5,90.0,92.2,84.7,81.6
1992-04-01,83.2,78.1,79.1,82.7,81.6,89.9,95.2,85.2,81.6
1992-05-01,83.0,78.5,80.0,83.0,82.1,91.9,86.4,85.0,81.7
1992-06-01,83.7,79.1,80.5,83.3,82.6,96.9,87.4,85.5,81.7
1992-07-01,83.5,78.2,82.2,83.0,82.9,96.5,86.5,85.9,82.0
1992-08-01,83.4,78.6,82.4,83.3,82.9,98.8,80.0,85.6,82.1
1992-09-01,83.0,78.8,82.9,83.5,83.1,95.2,77.0,85.5,82.1
1992-10-01,83.0,79.0,84.1,83.6,83.0,89.8,78.5,85.5,82.4
1992-11-01,83.1,79.6,83.2,83.8,83.2,86.4,83.3,85.6,82.4
1992-12-01,83.4,80.1,83.1,83.7,83.6,86.1,84.9,85.9,82.5
1993-01-01,84.1,80.8,84.6,84.0,83.3,87.4,89.9,86.3,82.7
1993-02-01,84.5,81.6,84.7,83.1,83.3,89.0,92.4,87.1,82.7
1993-03-01,84.2,80.6,85.2,82.4,82.9,85.9,96.5,86.3,82.7
1993-04-01,84.0,80.5,85.2,82.6,82.9,86.7,93.1,86.2,82.7
1993-05-01,84.9,81.5,85.4,82.4,82.6,87.4,102.4,86.3,83.0
1993-06-01,84.9,81.9,85.4,82.5,83.2,87.6,99.4,87.0,83.0
1993-07-01,84.9,82.6,85.6,82.5,83.9,89.3,93.5,87.1,83.0
1993-08-01,84.5,82.0,85.7,82.6,83.8,91.4,85.2,87.7,83.1
1993-09-01,84.1,82.2,85.4,82.7,83.2,91.9,78.6,87.3,83.0
1993-10-01,84.2,81.8,85.4,82.5,84.0,91.9,80.5,87.1,83.2
1993-11-01,84.5,82.0,84.2,82.7,84.1,90.6,87.3,86.8,83.2
1993-12-01,84.9,83.1,83.6,83.0,84.4,87.8,91.1,86.7,83.3
1994-01-01,85.2,82.5,84.3,83.3,84.4,86.9,95.4,87.2,83.5
1994-02-01,84.9,82.9,84.5,82.8,84.4,87.6,88.0,87.6,83.6
1994-03-01,84.3,82.3,84.5,80.2,84.4,86.4,86.8,87.2,83.8
1994-04-01,84.6,81.8,84.8,82.6,85.2,86.3,86.8,87.7,83.9
1994-05-01,84.6,82.1,84.6,82.0,84.5,88.1,89.1,86.7,83.7
1994-06-01,84.9,82.2,83.5,82.4,84.7,87.4,93.2,86.3,83.7
1994-07-01,85.3,81.9,84.7,82.8,85.0,91.0,93.7,87.1,84.0
1994-08-01,85.1,81.9,85.2,82.7,84.8,94.6,83.4,88.2,84.2
1994-09-01,84.5,82.2,86.0,83.0,84.9,90.9,73.5,89.3,84.4
1994-10-01,84.8,82.2,85.8,82.7,85.7,87.5,75.9,90.7,84.5
1994-11-01,84.9,80.8,86.0,83.4,85.5,85.5,82.9,91.2,84.6
1994-12-01,85.1,80.5,86.8,84.0,86.2,82.5,86.4,91.8,84.7
1995-01-01,86.4,80.9,87.1,84.5,86.8,86.7,92.5,94.4,84.9
1995-02-01,86.9,81.8,87.7,84.7,88.0,86.3,92.5,95.5,85.0
1995-03-01,86.9,82.2,87.7,84.8,88.0,84.9,91.9,94.9,85.1
1995-04-01,87.8,82.6,87.9,85.2,89.0,86.7,101.1,94.5,85.3
1995-05-01,87.3,81.6,88.4,85.2,87.7,87.8,94.2,94.7,85.6
1995-06-01,87.4,81.8,88.4,85.2,88.0,87.2,97.1,94.2,85.7
1995-07-01,87.4,82.7,88.4,85.3,87.4,90.9,91.4,94.3,85.9
1995-08-01,86.6,83.1,88.6,85.0,87.8,91.3,76.0,94.8,86.1
1995-09-01,86.4,83.4,88.8,85.5,88.9,87.7,71.8,94.9,86.2
1995-10-01,86.4,83.3,89.0,85.6,89.9,86.7,71.8,94.9,86.2
1995-11-01,86.4,82.7,88.7,85.9,90.0,86.8,73.2,94.6,86.2
1995-12-01,86.8,82.5,88.1,85.7,91.5,86.7,78.2,94.2,86.2
1996-01-01,87.2,82.7,88.4,86.3,90.3,87.5,79.9,95.5,86.4
1996-02-01,87.3,83.3,88.4,86.7,91.1,86.5,77.4,95.8,86.6
1996-03-01,87.4,83.3,87.7,86.6,91.1,88.7,79.1,95.3,86.7
1996-04-01,88.3,83.8,87.0,86.3,91.6,89.9,88.1,95.3,86.8
1996-05-01,87.9,83.8,87.0,86.2,90.8,89.6,83.4,95.6,86.8
1996-06-01,88.5,85.0,87.0,86.3,90.8,92.4,85.6,95.1,87.1
1996-07-01,88.3,84.7,87.0,86.5,90.4,91.0,84.1,95.2,87.2
1996-08-01,88.0,85.5,87.2,86.3,91.2,91.9,77.3,94.8,87.2
1996-09-01,87.7,86.9,87.3,87.1,92.7,89.9,67.8,94.9,87.3
1996-10-01,88.3,86.8,87.6,87.9,94.1,91.0,70.4,94.9,87.6
1996-11-01,88.9,86.9,87.3,88.5,94.1,89.9,77.8,95.5,87.7
1996-12-01,88.7,86.4,87.1,88.9,95.2,91.1,75.0,94.1,87.7
1997-01-01,89.1,86.8,88.0,89.1,94.4,90.6,79.4,95.0,87.7
1997-02-01,89.4,86.8,87.1,89.1,95.1,87.8,82.5,95.4,88.0
1997-03-01,89.4,86.4,87.3,89.2,95.1,87.6,83.4,95.2,88.1
1997-04-01,89.0,86.4,87.3,89.1,94.2,88.1,81.5,94.7,88.0
1997-05-01,89.4,87.1,87.6,89.3,93.1,91.8,81.0,94.8,88.2
1997-06-01,89.7,88.2,87.3,89.0,93.2,90.1,85.4,94.3,88.6
1997-07-01,90.1,88.3,87.7,89.4,93.2,90.8,88.2,94.6,88.7
1997-08-01,89.5,88.7,87.4,89.4,92.5,89.5,80.6,94.6,88.8
1997-09-01,88.9,88.4,87.4,89.6,93.2,88.0,73.0,93.6,88.9
1997-10-01,88.9,87.7,87.8,89.6,95.0,87.1,73.0,94.8,88.9
1997-11-01,89.8,87.8,88.4,90.1,95.4,87.4,82.0,94.4,89.1
1997-12-01,89.7,87.6,88.2,90.1,95.5,86.7,81.3,94.1,89.4
1998-01-01,91.2,87.0,88.4,90.3,94.5,88.7,97.4,95.8,89.7
1998-02-01,90.5,86.4,88.4,90.7,94.7,87.5,88.9,96.1,89.8
1998-03-01,90.7,85.8,88.3,91.0,94.2,87.2,93.9,95.8,89.8
1998-04-01,90.5,84.7,88.4,91.4,94.3,87.1,92.4,95.9,90.0
1998-05-01,90.9,84.5,89.7,91.6,92.9,92.1,93.6,95.9,90.1
1998-06-01,91.6,86.0,90.0,91.9,93.1,94.6,95.0,96.1,90.2
1998-07-01,91.3,86.6,90.5,91.7,92.8,93.2,91.9,95.8,90.4
1998-08-01,90.8,87.4,90.3,91.7,92.7,94.3,81.4,95.9,90.5
1998-09-01,90.1,86.9,90.8,91.9,93.2,91.3,74.8,95.7,90.8
1998-10-01,90.2,85.5,91.9,91.8,94.2,91.3,78.2,95.4,90.8
1998-11-01,91.2,87.0,92.3,92.3,94.8,93.0,84.2,95.8,90.8
1998-12-01,91.2,85.9,92.4,92.1,95.4,93.1,85.5,95.5,90.9
1999-01-01,92.3,85.6,93.1,92.2,95.4,97.7,92.3,96.9,91.1
1999-02-01,91.8,85.7,94.0,92.2,95.7,92.6,89.9,97.0,91.3
1999-03-01,92.0,85.9,94.3,92.8,94.7,91.7,92.1,97.1,91.4
1999-04-01,92.2,85.1,94.7,92.7,95.3,95.4,90.7,97.0,91.7
1999-05-01,92.4,86.3,95.7,92.6,93.9,97.7,90.3,96.4,91.8
1999-06-01,92.7,86.5,95.4,92.4,93.6,96.8,94.1,97.4,91.9
1999-07-01,92.5,87.4,96.2,92.5,93.7,95.5,91.1,96.9,92.0
1999-08-01,91.8,87.4,96.0,92.3,93.3,94.2,82.2,97.0,92.3
1999-09-01,91.2,87.7,96.1,92.3,93.7,91.0,76.7,97.4,92.3
1999-10-01,91.4,86.8,96.0,92.4,95.2,90.0,78.2,97.2,92.7
1999-11-01,92.0,87.8,95.9,92.5,95.4,91.4,81.1,96.9,93.0
1999-12-01,92.2,88.1,96.4,92.4,96.4,91.5,83.6,96.2,93.0
2000-01-01,92.1,87.7,95.7,92.3,93.7,89.7,87.4,97.1,93.1
2000-02-01,91.9,87.9,95.1,93.2,93.4,89.0,82.7,97.6,93.2
2000-03-01,92.3,88.9,94.6,93.6,93.9,87.8,84.9,97.8,93.4
2000-04-01,92.5,89.5,94.8,93.6,94.0,87.9,86.1,97.4,93.6
2000-05-01,93.2,90.2,96.0,93.9,93.8,90.2,90.5,97.2,93.6
2000-06-01,93.8,90.9,96.1,93.8,94.2,92.0,93.3,97.8,93.9
2000-07-01,94.3,92.3,96.1,94.2,94.4,93.4,94.7,97.0,94.0
2000-08-01,94.0,92.6,96.8,94.2,94.4,93.0,89.0,97.1,94.4
2000-09-01,93.3,92.4,96.4,94.6,94.2,90.4,81.5,97.3,94.5
2000-10-01,93.1,91.9,96.3,94.3,94.7,89.7,81.4,96.8,94.6
2000-11-01,93.9,92.3,96.8,94.7,95.3,91.3,86.4,97.3,94.7
2000-12-01,95.1,92.6,97.5,94.7,96.4,94.6,97.5,96.7,94.9
2001-01-01,,,,,,,,,
2001-02-01,,,,,,,,,
2001-03-01,,,,,,,,,
2001-04-01,,,,,,,,,
2001-05-01,,,,,,,,,
2001-06-01,,,,,,,,,
2001-07-01,,,,,,,,,
2001-08-01,,,,,,,,,
2001-09-01,,,,,,,,,
2001-10-01,,,,,,,,,
2001-11-01,,,,,,,,,
2001-12-01,,,,,,,,,
2002-01-01,,,,,,,,,
2002-02-01,,,,,,,,,
2002-03-01,,,,,,,,,
2002-04-01,,,,,,,,,
2002-05-01,,,,,,,,,
2002-06-01,,,,,,,,,
2002-07-01,,,,,,,,,
2002-08-01,,,,,,,,,
2002-09-01,,,,,,,,,
2002-10-01,,,,,,,,,
2002-11-01,,,,,,,,,
2002-12-01,,,,,,,,,
2003-01-01,,,,,,,,,
2003-02-01,,,,,,,,,
2003-03-01,,,,,,,,,
2003-04-01,,,,,,,,,
2003-05-01,,,,,,,,,
2003-06-01,,,,,,,,,
2003-07-01,,,,,,,,,
2003-08-01,,,,,,,,,
2003-09-01,,,,,,,,,
2003-10-01,,,,,,,,,
2003-11-01,,,,,,,,,
2003-12-01,,,,,,,,,
2004-01-01,,,,,,,,,
2004-02-01,,,,,,,,,
2004-03-01,,,,,,,,,
2004-04-01,,,,,,,,,
2004-05-01,,,,,,,,,
2004-06-01,,,,,,,,,
2004-07-01,,,,,,,,,
2004-08-01,,,,,,,,,
2004-09-01,,,,,,,,,
2004-10-01,,,,,,,,,
2004-11-01,,,,,,,,,
2004-12-01,,,,,,,,,
2005-01-01,,,,,,,,,
2005-02-01,,,,,,,,,
2005-03-01,,,,,,,,,
2005-04-01,,,,,,,,,
2005-05-01,,,,,,,,,
2005-06-01,,,,,,,,,
2005-07-01,,,,,,,,,
2005-08-01,,,,,,,,,
2005-09-01,,,,,,,,,
2005-10-01,,,,,,,,,
2005-11-01,,,,,,,,,
2005-12-01,,,,,,,,,
2006-01-01,,,,,,,,,
2006-02-01,,,,,,,,,
2006-03-01,,,,,,,,,
2006-04-01,,,,,,,,,
2006-05-01,,,,,,,,,
2006-06-01,,,,,,,,,
2006-07-01,,,,,,,,,
2006-08-01,,,,,,,,,
2006-09-01,,,,,,,,,
2006-10-01,,,,,,,,,
2006-11-01,,,,,,,,,
2006-12-01,,,,,,,,,
2007-01-01,,,,,,,,,
2007-02-01,,,,,,,,,
2007-03-01,,,,,,,,,
2007-04-01,,,,,,,,,
2007-05-01,,,,,,,,,
2007-06-01,,,,,,,,,
2007-07-01,,,,,,,,,
2007-08-01,,,,,,,,,
2007-09-01,,,,,,,,,
2007-10-01,,,,,,,,,
2007-11-01,,,,,,,,,
2007-12-01,,,,,,,,,
2008-01-01,,,,,,,,,
2008-02-01,,,,,,,,,
2008-03-01,,,,,,,,,
2008-04-01,,,,,,,,,
2008-05-01,,,,,,,,,
2008-06-01,,,,,,,,,
2008-07-01,,,,,,,,,
2008-08-01,,,,,,,,,
2008-09-01,,,,,,,,,
2008-10-01,,,,,,,,,
2008-11-01,,,,,,,,,
2008-12-01,,,,,,,,,
2009-01-01,,,,,,,,,
2009-02-01,,,,,,,,,
2009-03-01,,,,,,,,,
2009-04-01,,,,,,,,,
2009-05-01,,,,,,,,,
2009-06-01,,,,,,,,,
2009-07-01,,,,,,,,,
2009-08-01,,,,,,,,,
2009-09-01,,,,,,,,,
2009-10-01,,,,,,,,,
2009-11-01,,,,,,,,,
2009-12-01,,,,,,,,,
2010-01-01,,,,,,,,,
2010-02-01,,,,,,,,,
2010-03-01,,,,,,,,,
2010-04-01,,,,,,,,,
2010-05-01,,,,,,,,,
2010-06-01,,,,,,,,,
2010-07-01,,,,,,,,,
2010-08-01,,,,,,,,,
2010-09-01,,,,,,,,,
2010-10-01,,,,,,,,,
2010-11-01,,,,,,,,,
2010-12-01,,,,,,,,,
2011-01-01,,,,,,,,,
2011-02-01,,,,,,,,,
2011-03-01,,,,,,,,,
2011-04-01,,,,,,,,,
2011-05-01,,,,,,,,,
2011-06-01,,,,,,,,,
2011-07-01,,,,,,,,,
2011-08-01,,,,,,,,,
2011-09-01,,,,,,,,,
2011-10-01,,,,,,,,,
2011-11-01,,,,,,,,,
2011-12-01,,,,,,,,,
2012-01-01,,,,,,,,,
2012-02-01,,,,,,,,,
2012-03-01,,,,,,,,,
2012-04-01,,,,,,,,,
2012-05-01,,,,,,,,,
2012-06-01,,,,,,,,,
2012-07-01,,,,,,,,,
2012-08-01,,,,,,,,,
2012-09-01,,,,,,,,,
2012-10-01,,,,,,,,,
2012-11-01,,,,,,,,,
2012-12-01,,,,,,,,,
2013-01-01,,,,,,,,,
2013-02-01,,,,,,,,,
2013-03-01,,,,,,,,,
2013-04-01,,,,,,,,,
2013-05-01,,,,,,,,,
2013-06-01,,,,,,,,,
2013-07-01,,,,,,,,,
2013-08-01,,,,,,,,,
2013-09-01,,,,,,,,,
2013-10-01,,,,,,,,,
2013-11-01,,,,,,,,,
2013-12-01,,,,,,,,,
2014-01-01,,,,,,,,,
2014-02-01,,,,,,,,,
2014-03-01,,,,,,,,,
2014-04-01,,,,,,,,,
2014-05-01,,,,,,,,,
2014-06-01,,,,,,,,,
2014-07-01,,,,,,,,,
2014-08-01,,,,,,,,,
2014-09-01,,,,,,,,,
2014-10-01,,,,,,,,,
2014-11-01,,,,,,,,,
2014-12-01,,,,,,,,,
2015-01-01,,,,,,,,,
2015-02-01,,,,,,,,,
2015-03-01,,,,,,,,,
2015-04-01,,,,,,,,,
2015-05-01,,,,,,,,,
2015-06-01,,,,,,,,,
2015-07-01,,,,,,,,,
2015-08-01,,,,,,,,,
2015-09-01,,,,,,,,,
2015-10-01,,,,,,,,,
2015-11-01,,,,,,,,,
2015-12-01,,,,,,,,,
2016-01-01,,,,,,,,,
2016-02-01,,,,,,,,,
2016-03-01,,,,,,,,,
2016-04-01,,,,,,,,,
2016-05-01,,,,,,,,,
2016-06-01,,,,,,,,,
2016-07-01,,,,,,,,,
2016-08-01,,,,,,,,,
2016-09-01,,,,,,,,,
2016-10-01,,,,,,,,,
2016-11-01,,,,,,,,,
2016-12-01,,,,,,,,,
2017-01-01,,,,,,,,,
2017-02-01,,,,,,,,,
2017-03-01,,,,,,,,,
2017-04-01,,,,,,,,,
2017-05-01,,,,,,,,,
2017-06-01,,,,,,,,,
2017-07-01,,,,,,,,,
2017-08-01,,,,,,,,,
2017-09-01,,,,,,,,,
2017-10-01,,,,,,,,,
2017-11-01,,,,,,,,,
2017-12-01,,,,,,,,,
2018-01-01,,,,,,,,,
2018-02-01,,,,,,,,,
2018-03-01,,,,,,,,,
2018-04-01,,,,,,,,,
2018-05-01,,,,,,,,,
2018-06-01,,,,,,,,,
2018-07-01,,,,,,,,,
2018-08-01,,,,,,,,,
2018-09-01,,,,,,,,,
2018-10-01,,,,,,,,,
2018-11-01,,,,,,,,,
2018-12-01,,,,,,,,,
2019-01-01,,,,,,,,,
2019-02-01,,,,,,,,,
2019-03-01,,,,,,,,,
2019-04-01,,,,,,,,,
2019-05-01,,,,,,,,,
2019-06-01,,,,,,,,,
2019-07-01,,,,,,,,,
2019-08-01,,,,,,,,,
2019-09-01,,,,,,,,,
2019-10-01,,,,,,,,,
2019-11-01,,,,,,,,,
2019-12-01,,,,,,,,,
2020-01-01,,,,,,,,,
2020-02-01,,,,,,,,,
2020-03-01,,,,,,,,,
2020-04-01,,,,,,,,,
2020-05-01,,,,,,,,,
2020-06-01,,,,,,,,,
2020-07-01,,,,,,,,,
2020-08-01,,,,,,,,,
2020-09-01,,,,,,,,,
2020-10-01,,,,,,,,,
2020-11-01,,,,,,,,,
2020-12-01,,,,,,,,,
2021-01-01,,,,,,,,,
2021-02-01,,,,,,,,,
2021-03-01,,,,,,,,,
2021-04-01,,,,,,,,,
2021-05-01,,,,,,,,,
2021-06-01,,,,,,,,,
2021-07-01,,,,,,,,,
2021-08-01,,,,,,,,,
2021-09-01,,,,,,,,,
2021-10-01,,,,,,,,,
2021-11-01,,,,,,,,,
2021-12-01,,,,,,,,,
2022-01-01,,,,,,,,,
2022-02-01,,,,,,,,,
2022-03-01,,,,,,,,,
2022-04-01,,,,,,,,,
2022-05-01,,,,,,,,,
2022-06-01,,,,,,,,,
2022-07-01,,,,,,,,,
2022-08-01,,,,,,,,,
2022-09-01,,,,,,,,,
2022-10-01,,,,,,,,,
2022-11-01,,,,,,,,,
2022-12-01,,,,,,,,,
2023-01-01,,,,,,,,,
2023-02-01,,,,,,,,,
2023-03-01,,,,,,,,,
2023-04-01,,,,,,,,,
2023-05-01,,,,,,,,,
2023-06-01,,,,,,,,,
2023-07-01,,,,,,,,,
2023-08-01,,,,,,,,,
2023-09-01,,,,,,,,,
2023-10-01,,,,,,,,,
2023-11-01,,,,,,,,,
2023-12-01,,,,,,,,,
2024-01-01,95.3,94.3,98.1,95.1,95.4,93.6,92.7,98.5,95.3
2024-02-01,96.1,95.4,98.9,96.5,96.1,92.9,96.3,98.7,95.5
2024-03-01,96.9,97.3,99.2,97.1,96.1,92.9,100.4,98.9,95.7
2024-04-01,97.2,98.1,98.8,96.9,96.2,97.2,97.7,99.2,95.9
2024-05-01,98.0,99.5,99.3,97.4,96.7,100.0,99.2,99.2,96.2
2024-06-01,98.2,99.9,99.5,97.7,97.1,100.0,98.5,98.9,96.7
2024-07-01,98.6,100.0,99.9,97.5,98.0,99.8,99.6,99.4,97.3
2024-08-01,97.9,99.8,100.2,97.4,98.1,99.2,90.0,99.2,97.7
2024-09-01,97.2,100.3,100.4,97.5,97.8,96.1,82.6,99.3,97.9
2024-10-01,97.0,99.4,99.9,97.2,98.3,95.7,82.1,99.4,98.1
2024-11-01,97.5,99.4,99.6,97.4,98.6,97.0,86.2,99.0,98.3
2024-12-01,98.6,99.3,99.8,97.4,99.0,101.4,94.7,98.8,98.6
