index,gscpi
1998-01-01,-0.86
1998-02-01,-0.63
1998-03-01,-0.37
1998-04-01,-0.32
1998-05-01,-0.44
1998-06-01,-0.62
1998-07-01,-0.79
1998-08-01,-0.66
1998-09-01,-0.79
1998-10-01,-0.74
1998-11-01,-0.94
1998-12-01,-0.97
1999-01-01,-0.62
1999-02-01,-0.2
1999-03-01,-0.3
1999-04-01,-0.43
1999-05-01,-0.56
1999-06-01,-0.6
1999-07-01,-0.76
1999-08-01,-0.66
1999-09-01,-0.59
1999-10-01,-0.27
1999-11-01,-0.35
1999-12-01,-0.46
2000-01-01,-0.65
2000-02-01,-0.54
2000-03-01,-0.48
2000-04-01,-0.01
2000-05-01,0.22
2000-06-01,0.02
2000-07-01,0.01
2000-08-01,0.09
2000-09-01,0.06
2000-10-01,-0.44
2000-11-01,-0.61
2000-12-01,-0.67
2001-01-01,-0.7
2001-02-01,-0.63
2001-03-01,-0.36
2001-04-01,-0.77
2001-05-01,-1.02
2001-06-01,-0.68
2001-07-01,-0.78
2001-08-01,-0.82
2001-09-01,-0.78
2001-10-01,-1.04
2001-11-01,-1.21
2001-12-01,-1.05
2002-01-01,-0.84
2002-02-01,-0.59
2002-03-01,-0.59
2002-04-01,-0.66
2002-05-01,-0.69
2002-06-01,-0.88
2002-07-01,-1.18
2002-08-01,-1.06
2002-09-01,-1.13
2002-10-01,-1.05
2002-11-01,-1.08
2002-12-01,-0.82
2003-01-01,-0.84
2003-02-01,-0.54
2003-03-01,-0.38
2003-04-01,-0.65
2003-05-01,-0.44
2003-06-01,-0.23
2003-07-01,-0.23
2003-08-01,-0.27
2003-09-01,-0.3
2003-10-01,-0.67
2003-11-01,-0.62
2003-12-01,-0.56
2004-01-01,-0.86
2004-02-01,-0.66
2004-03-01,-0.14
2004-04-01,0.15
2004-05-01,0.5
2004-06-01,0.22
2004-07-01,-0.63
2004-08-01,-0.07
2004-09-01,-0.15
2004-10-01,-0.71
2004-11-01,-0.44
2004-12-01,-0.16
2005-01-01,-0.29
2005-02-01,-0.42
2005-03-01,-0.44
2005-04-01,-1.33
2005-05-01,-1.01
2005-06-01,-0.8
2005-07-01,-0.62
2005-08-01,-0.59
2005-09-01,0.14
2005-10-01,0.15
2005-11-01,-0.27
2005-12-01,-0.55
2006-01-01,-0.41
2006-02-01,-0.52
2006-03-01,-0.19
2006-04-01,0.2
2006-05-01,-0.02
2006-06-01,0.38
2006-07-01,0.03
2006-08-01,0.24
2006-09-01,-0.54
2006-10-01,-0.36
2006-11-01,-0.18
2006-12-01,-0.33
