"Debt service indicators of households, national balance sheet accounts (x 1,000,000)",,,
Frequency: Quarterly,,,
Table: 11-10-0065-01,,,
Release date: 2024-03-13,,,
Geography: Canada,,,
,,,
,,,
,,,
Geography,Canada,,
Seasonal adjustment,Seasonally adjusted at annual rates,,
Estimates,Household income,Disposable income ,Total interest paid 1
Reference period,,,
Q4 1990,"638,984","412,232","51,148"
Q1 1991,"640,844","417,232","51,488"
Q2 1991,"648,248","412,040","50,612"
Q3 1991,"652,668","420,200","50,052"
Q4 1991,"654,384","424,068","49,208"
Q1 1992,"658,604","419,928","47,964"
Q2 1992,"664,280","428,816","47,448"
Q3 1992,"667,800","442,316","46,736"
Q4 1992,"669,188","435,524","47,076"
Q1 1993,"676,464","439,276","44,380"
Q2 1993,"679,832","458,584","43,924"
Q3 1993,"681,600","444,704","42,952"
Q4 1993,"682,432","442,096","42,768"
Q1 1994,"685,640","450,008","42,724"
Q2 1994,"692,764","454,520","42,708"
Q3 1994,"701,280","454,144","44,004"
Q4 1994,"708,180","459,636","45,012"
Q1 1995,"715,664","461,916","47,220"
Q2 1995,"722,476","465,884","48,604"
Q3 1995,"727,596","465,836","48,344"
Q4 1995,"730,372","469,072","48,208"
Q1 1996,"733,988","472,160","47,896"
Q2 1996,"737,104","473,700","47,568"
Q3 1996,"742,812","475,332","46,788"
Q4 1996,"750,800","480,920","45,892"
Q1 1997,"755,312","485,296","44,288"
Q2 1997,"764,380","487,336","43,944"
Q3 1997,"776,752","501,280","43,864"
Q4 1997,"783,004","505,812","44,412"
Q1 1998,"795,624","508,368","45,588"
Q2 1998,"804,440","510,620","45,964"
Q3 1998,"810,304","523,392","47,112"
Q4 1998,"824,148","531,968","47,972"
Q1 1999,"828,032","534,304","47,064"
Q2 1999,"841,284","543,140","46,476"
Q3 1999,"851,248","550,512","46,276"
Q4 1999,"862,888","557,084","46,612"
Q1 2000,"881,080","563,668","49,616"
Q2 2000,"897,340","573,208","52,336"
Q3 2000,"911,920","586,036","53,300"
Q4 2000,"921,880","595,804","54,876"
Q1 2001,"940,528","614,560","55,320"
Q2 2001,"943,860","602,796","54,120"
Q3 2001,"945,100","619,000","52,612"
Q4 2001,"948,636","624,784","50,736"
Q1 2002,"953,464","634,372","48,956"
Q2 2002,"957,496","635,996","48,820"
Q3 2002,"967,944","647,156","50,036"
Q4 2002,"982,888","652,804","51,772"
Q1 2003,"988,888","663,028","51,152"
Q2 2003,"992,224","659,340","52,100"
