Date,"Farm, fishing and intermediate food products",Farm and fishing products,Intermediate food products,"Food, beverage and tobacco products"
Q1 2017,43010,35505,7508,24082
Q2 2017,40808,33322,7488,24917
Q3 2017,40248,33393,6852,24479
Q4 2017,41066,33619,7444,24638
Q1 2018,40496,33142,7352,24751
Q2 2018,42668,34812,7852,25650
Q3 2018,42035,34167,7864,25073
Q4 2018,42885,35278,7604,25183
Q1 2019,39201,31894,7304,25248
Q2 2019,42494,34883,7604,25475
Q3 2019,41497,33552,7944,25181
Q4 2019,38630,30901,7732,25890
Q1 2020,42491,34592,7904,25716
Q2 2020,45776,37775,8016,23688
Q3 2020,46865,38767,8112,25888
Q4 2020,43663,35589,8092,27198
Q1 2021,44746,36655,8116,27160
Q2 2021,41724,33917,7816,28160
Q3 2021,35523,28336,7152,28759
Q4 2021,33206,26652,6536,28852
Q1 2022,32350,25803,6512,30026
Q2 2022,32151,25607,6504,30341
Q3 2022,37767,30543,7264,29218
