Date,Canada News-Based Policy Uncertainty Index
1986-4-01,69.0
1986-5-01,93.0
1986-6-01,58.0
1986-7-01,86.0
1986-8-01,92.0
1986-9-01,120.0
1986-10-01,77.0
1986-11-01,64.0
1986-12-01,79.0
1987-1-01,75.0
1987-2-01,68.0
1987-3-01,36.0
1987-4-01,70.0
1987-5-01,81.0
1987-6-01,73.0
1987-7-01,62.0
1987-8-01,29.0
1987-9-01,60.0
1987-10-01,125.0
1987-11-01,138.0
1987-12-01,117.0
1988-1-01,88.0
1988-2-01,74.0
1988-3-01,57.0
1988-4-01,61.0
1988-5-01,48.0
1988-6-01,43.0
1988-7-01,57.0
1988-8-01,83.0
1988-9-01,62.0
1988-10-01,61.0
1988-11-01,124.0
1988-12-01,58.0
1989-1-01,47.0
1989-2-01,41.0
1989-3-01,70.0
1989-4-01,60.0
1989-5-01,89.0
1989-6-01,65.0
1989-7-01,70.0
1989-8-01,61.0
1989-9-01,59.0
1989-10-01,77.0
1989-11-01,75.0
1989-12-01,58.0
1990-1-01,90.0
1990-2-01,77.0
1990-3-01,93.0
1990-4-01,109.0
1990-5-01,131.0
1990-6-01,164.0
1990-7-01,88.0
1990-8-01,117.0
1990-9-01,118.0
1990-10-01,166.0
1990-11-01,148.0
1990-12-01,123.0
1991-1-01,182.0
1991-2-01,130.0
1991-3-01,145.0
1991-4-01,128.0
1991-5-01,93.0
1991-6-01,93.0
1991-7-01,90.0
1991-8-01,76.0
1991-9-01,116.0
1991-10-01,133.0
1991-11-01,113.0
1991-12-01,138.0
1992-1-01,127.0
1992-2-01,115.0
1992-3-01,136.0
1992-4-01,115.0
1992-5-01,74.0
1992-6-01,101.0
1992-7-01,74.0
1992-8-01,65.0
1992-9-01,205.0
1992-10-01,254.0
1992-11-01,132.0
1992-12-01,112.0
1993-1-01,103.0
1993-2-01,91.0
1993-3-01,120.0
1993-4-01,89.0
1993-5-01,108.0
1993-6-01,87.0
1993-7-01,122.0
1993-8-01,110.0
1993-9-01,128.0
1993-10-01,124.0
1993-11-01,106.0
1993-12-01,93.0
1994-1-01,77.0
1994-2-01,69.0
1994-3-01,140.0
1994-4-01,162.0
1994-5-01,115.0
1994-6-01,186.0
1994-7-01,133.0
1994-8-01,134.0
1994-9-01,126.0
1994-10-01,89.0
1994-11-01,93.0
1994-12-01,102.0
1995-1-01,194.0
1995-2-01,126.0
1995-3-01,163.0
1995-4-01,129.0
1995-5-01,96.0
1995-6-01,102.0
1995-7-01,109.0
1995-8-01,63.0
1995-9-01,136.0
1995-10-01,241.0
1995-11-01,241.0
1995-12-01,192.0
1996-1-01,213.0
1996-2-01,108.0
1996-3-01,203.0
1996-4-01,118.0
1996-5-01,122.0
1996-6-01,118.0
1996-7-01,103.0
1996-8-01,126.0
1996-9-01,97.0
1996-10-01,185.0
1996-11-01,137.0
1996-12-01,94.0
1997-1-01,102.0
1997-2-01,80.0
1997-3-01,128.0
1997-4-01,66.0
1997-5-01,109.0
1997-6-01,73.0
1997-7-01,44.0
1997-8-01,61.0
1997-9-01,56.0
1997-10-01,69.0
1997-11-01,84.0
1997-12-01,85.0
1998-1-01,120.0
1998-2-01,120.0
1998-3-01,88.0
1998-4-01,79.0
1998-5-01,108.0
1998-6-01,103.0
1998-7-01,113.0
1998-8-01,169.0
1998-9-01,143.0
1998-10-01,195.0
1998-11-01,153.0
1998-12-01,113.0
1999-1-01,102.0
1999-2-01,68.0
1999-3-01,30.0
1999-4-01,45.0
1999-5-01,58.0
1999-6-01,67.0
1999-7-01,65.0
1999-8-01,31.0
1999-9-01,62.0
1999-10-01,45.0
1999-11-01,51.0
1999-12-01,61.0
2000-1-01,47.0
2000-2-01,46.0
2000-3-01,39.0
2000-4-01,53.0
2000-5-01,54.0
2000-6-01,45.0
2000-7-01,41.0
2000-8-01,55.0
2000-9-01,45.0
2000-10-01,59.0
2000-11-01,90.0
2000-12-01,66.0
2001-1-01,99.0
2001-2-01,77.0
2001-3-01,128.0
2001-4-01,109.0
2001-5-01,106.0
2001-6-01,50.0
2001-7-01,83.0
2001-8-01,74.0
2001-9-01,195.0
2001-10-01,216.0
2001-11-01,184.0
2001-12-01,120.0
2002-1-01,123.0
2002-2-01,85.0
2002-3-01,90.0
2002-4-01,82.0
2002-5-01,71.0
2002-6-01,92.0
2002-7-01,94.0
2002-8-01,120.0
2002-9-01,119.0
2002-10-01,168.0
2002-11-01,137.0
2002-12-01,95.0
2003-1-01,163.0
2003-2-01,175.0
2003-3-01,196.0
2003-4-01,138.0
2003-5-01,125.0
2003-6-01,98.0
2003-7-01,77.0
2003-8-01,62.0
2003-9-01,72.0
2003-10-01,86.0
2003-11-01,83.0
2003-12-01,56.0
2004-1-01,56.0
2004-2-01,78.0
2004-3-01,68.0
2004-4-01,56.0
2004-5-01,80.0
2004-6-01,72.0
2004-7-01,61.0
2004-8-01,72.0
2004-9-01,74.0
2004-10-01,63.0
2004-11-01,89.0
2004-12-01,47.0
2005-1-01,46.0
2005-2-01,40.0
2005-3-01,43.0
2005-4-01,91.0
2005-5-01,97.0
2005-6-01,61.0
2005-7-01,59.0
2005-8-01,55.0
2005-9-01,73.0
2005-10-01,80.0
2005-11-01,81.0
2005-12-01,50.0
2006-1-01,71.0
2006-2-01,82.0
2006-3-01,61.0
2006-4-01,62.0
2006-5-01,61.0
2006-6-01,61.0
2006-7-01,59.0
2006-8-01,55.0
2006-9-01,59.0
2006-10-01,55.0
2006-11-01,80.0
2006-12-01,45.0
2007-1-01,53.0
2007-2-01,69.0
2007-3-01,74.0
2007-4-01,53.0
2007-5-01,70.0
2007-6-01,52.0
2007-7-01,51.0
2007-8-01,61.0
2007-9-01,76.0
2007-10-01,72.0
2007-11-01,83.0
2007-12-01,98.0
2008-1-01,112.0
2008-2-01,132.0
2008-3-01,105.0
2008-4-01,103.0
2008-5-01,82.0
2008-6-01,77.0
2008-7-01,71.0
2008-8-01,100.0
2008-9-01,184.0
2008-10-01,360.0
2008-11-01,267.0
2008-12-01,269.0
2009-1-01,251.0
2009-2-01,194.0
2009-3-01,167.0
2009-4-01,136.0
2009-5-01,121.0
2009-6-01,92.0
2009-7-01,91.0
2009-8-01,97.0
2009-9-01,93.0
2009-10-01,110.0
2009-11-01,128.0
2009-12-01,102.0
2010-1-01,119.0
2010-2-01,97.0
2010-3-01,142.0
2010-4-01,104.0
2010-5-01,143.0
2010-6-01,139.0
2010-7-01,154.0
2010-8-01,145.0
2010-9-01,202.0
2010-10-01,212.0
2010-11-01,183.0
2010-12-01,142.0
2011-1-01,128.0
2011-2-01,181.0
2011-3-01,172.0
2011-4-01,142.0
2011-5-01,172.0
2011-6-01,162.0
2011-7-01,203.0
2011-8-01,337.0
2011-9-01,281.0
2011-10-01,301.0
2011-11-01,400.0
2011-12-01,309.0
2012-1-01,236.0
2012-2-01,184.0
2012-3-01,188.0
2012-4-01,174.0
2012-5-01,258.0
2012-6-01,249.0
2012-7-01,188.0
2012-8-01,177.0
2012-9-01,211.0
2012-10-01,218.0
2012-11-01,383.0
2012-12-01,239.0
2013-1-01,224.0
2013-2-01,174.0
2013-3-01,258.0
2013-4-01,207.0
2013-5-01,221.0
2013-6-01,144.0
2013-7-01,136.0
2013-8-01,143.0
2013-9-01,133.0
2013-10-01,264.0
2013-11-01,135.0
2013-12-01,133.0
2014-1-01,133.0
2014-2-01,166.0
2014-3-01,200.0
2014-4-01,124.0
2014-5-01,126.0
2014-6-01,111.0
2014-7-01,143.0
2014-8-01,156.0
2014-9-01,140.0
2014-10-01,160.0
2014-11-01,216.0
2014-12-01,147.0
2015-1-01,286.0
2015-2-01,241.0
2015-3-01,132.0
2015-4-01,177.0
2015-5-01,214.0
2015-6-01,174.0
2015-7-01,179.0
2015-8-01,177.0
2015-9-01,205.0
2015-10-01,200.0
2015-11-01,142.0
2015-12-01,128.0
2016-1-01,156.0
2016-2-01,187.0
2016-3-01,219.0
2016-4-01,157.0
2016-5-01,152.0
2016-6-01,277.0
2016-7-01,260.0
2016-8-01,238.0
2016-9-01,164.0
2016-10-01,244.0
2016-11-01,442.0
2016-12-01,299.0
2017-1-01,338.0
2017-2-01,257.0
2017-3-01,262.0
2017-4-01,200.0
2017-5-01,262.0
2017-6-01,206.0
2017-7-01,233.0
2017-8-01,242.0
2017-9-01,278.0
2017-10-01,221.0
2017-11-01,233.0
2017-12-01,190.0
2018-1-01,344.0
2018-2-01,365.0
2018-3-01,450.0
2018-4-01,304.0
2018-5-01,257.0
2018-6-01,428.0
2018-7-01,292.0
2018-8-01,360.0
2018-9-01,272.0
2018-10-01,296.0
2018-11-01,323.0
2018-12-01,290.0
2019-1-01,302.0
2019-2-01,267.0
2019-3-01,251.0
2019-4-01,298.0
2019-5-01,276.0
2019-6-01,339.0
2019-7-01,333.0
2019-8-01,401.0
2019-9-01,358.0
2019-10-01,496.0
2019-11-01,365.0
2019-12-01,316.0
2020-1-01,276.0
2020-2-01,380.0
2020-3-01,570.0
2020-4-01,448.0
2020-5-01,679.0
2020-6-01,505.0
2020-7-01,552.0
2020-8-01,415.0
2020-9-01,423.0
2020-10-01,498.0
2020-11-01,455.0
2020-12-01,371.0
2021-1-01,290.0
2021-2-01,323.0
2021-3-01,344.0
2021-4-01,268.0
2021-5-01,195.0
2021-6-01,172.0
2021-7-01,326.0
2021-8-01,210.0
2021-9-01,392.0
2021-10-01,211.0
2021-11-01,259.0
2021-12-01,337.0
2022-1-01,214.0
2022-2-01,218.0
2022-3-01,405.0
2022-4-01,301.0
2022-5-01,304.0
2022-6-01,144.0
2022-7-01,212.0
2022-8-01,379.0
2022-9-01,257.0
2022-10-01,320.0
2022-11-01,272.0
2022-12-01,310.0
2023-1-01,233.0
2023-2-01,255.0
2023-3-01,340.0
2023-4-01,190.0
2023-5-01,220.0
2023-6-01,159.0
2023-7-01,262.0
2023-8-01,301.0
2023-9-01,202.0
2023-10-01,389.0
2023-11-01,318.0
2023-12-01,362.0
2024-1-01,247.0
2024-2-01,198.0
2024-3-01,283.0
2024-4-01,220.0
