Date,"Farm, fishing and intermediate food products",Farm and fishing products,Intermediate food products,"Food, beverage and tobacco products"
Q1 2017,18832,15288,3543,28887
Q2 2017,18993,15372,3623,29334
Q3 2017,20414,16749,3659,29355
Q4 2017,21097,17514,3587,29632
Q1 2018,21087,17412,3672,28969
Q2 2018,21098,17490,3612,29428
Q3 2018,21373,17942,3460,29185
Q4 2018,22147,18684,3504,29128
Q1 2019,21039,17546,3512,29665
Q2 2019,21533,17815,3728,29965
Q3 2019,21480,17916,3580,30053
Q4 2019,20805,17261,3556,29450
Q1 2020,21351,17627,3732,29966
Q2 2020,20115,16450,3664,29071
Q3 2020,21608,17526,4072,29871
Q4 2020,22356,18091,4252,30524
Q1 2021,23412,19488,3964,30170
Q2 2021,23000,18816,4192,29930
Q3 2021,23152,18889,4268,29104
Q4 2021,24250,19800,4456,29641
Q1 2022,24570,19658,4896,30133
Q2 2022,25101,20150,4940,31559
Q3 2022,23203,18564,4624,30695
