Date,Farm product wholesaler-distributors  
2007-01-01,1540.0
2007-02-01,1477.0
2007-03-01,1505.0
2007-04-01,1479.0
2007-05-01,1560.0
2007-06-01,1514.0
2007-07-01,1508.0
2007-08-01,1565.0
2007-09-01,1554.0
2007-10-01,1542.0
2007-11-01,1480.0
2007-12-01,1539.0
2008-01-01,1636.0
2008-02-01,1539.0
2008-03-01,1572.0
2008-04-01,1525.0
2008-05-01,1501.0
2008-06-01,1525.0
2008-07-01,1535.0
2008-08-01,1555.0
2008-09-01,1573.0
2008-10-01,1626.0
2008-11-01,1579.0
2008-12-01,1494.0
2009-01-01,1521.0
2009-02-01,1707.0
2009-03-01,1653.0
2009-04-01,1741.0
2009-05-01,1718.0
2009-06-01,1764.0
2009-07-01,1724.0
2009-08-01,1624.0
2009-09-01,1531.0
2009-10-01,1638.0
2009-11-01,1696.0
2009-12-01,1724.0
2010-01-01,1642.0
2010-02-01,1709.0
2010-03-01,1727.0
2010-04-01,1737.0
2010-05-01,1752.0
2010-06-01,1810.0
2010-07-01,1874.0
2010-08-01,1885.0
2010-09-01,1681.0
2010-10-01,1737.0
2010-11-01,1799.0
2010-12-01,1721.0
2011-01-01,1585.0
2011-02-01,1667.0
2011-03-01,1549.0
2011-04-01,1515.0
2011-05-01,1539.0
2011-06-01,1531.0
2011-07-01,1582.0
2011-08-01,1493.0
2011-09-01,1586.0
2011-10-01,1555.0
2011-11-01,1524.0
2011-12-01,1546.0
2012-01-01,1574.0
2012-02-01,1555.0
2012-03-01,1618.0
2012-04-01,1622.0
2012-05-01,1460.0
2012-06-01,1271.0
2012-07-01,1247.0
2012-08-01,1574.0
2012-09-01,1664.0
2012-10-01,1700.0
2012-11-01,1640.0
2012-12-01,1843.0
2013-01-01,1835.0
2013-02-01,1638.0
2013-03-01,1830.0
2013-04-01,1905.0
2013-05-01,1886.0
2013-06-01,1606.0
2013-07-01,1638.0
2013-08-01,1567.0
2013-09-01,1872.0
2013-10-01,1908.0
2013-11-01,1827.0
2013-12-01,1632.0
2014-01-01,1711.0
2014-02-01,1751.0
2014-03-01,1980.0
2014-04-01,1937.0
2014-05-01,2009.0
2014-06-01,2014.0
2014-07-01,2214.0
2014-08-01,2116.0
2014-09-01,1943.0
2014-10-01,1873.0
2014-11-01,1813.0
2014-12-01,1918.0
2015-01-01,1842.0
2015-02-01,1962.0
2015-03-01,2028.0
2015-04-01,2155.0
2015-05-01,2311.0
2015-06-01,2246.0
2015-07-01,2090.0
2015-08-01,2100.0
2015-09-01,2175.0
2015-10-01,2249.0
2015-11-01,2310.0
2015-12-01,2308.0
2016-01-01,2291.0
2016-02-01,2356.0
2016-03-01,2134.0
2016-04-01,2146.0
2016-05-01,2047.0
2016-06-01,2066.0
2016-07-01,2320.0
2016-08-01,2013.0
2016-09-01,2080.0
2016-10-01,2141.0
2016-11-01,2154.0
2016-12-01,2039.0
2017-01-01,2222.0
2017-02-01,2361.0
2017-03-01,2302.0
2017-04-01,2416.0
2017-05-01,2375.0
2017-06-01,2409.0
2017-07-01,2278.0
2017-08-01,2355.0
2017-09-01,2352.0
2017-10-01,2380.0
2017-11-01,2446.0
2017-12-01,2196.0
2018-01-01,2341.0
2018-02-01,2063.0
2018-03-01,2247.0
2018-04-01,2211.0
2018-05-01,2631.0
2018-06-01,2200.0
2018-07-01,2333.0
2018-08-01,2523.0
2018-09-01,2440.0
2018-10-01,2377.0
2018-11-01,2527.0
2018-12-01,2559.0
2019-01-01,2400.0
2019-02-01,2204.0
2019-03-01,2461.0
2019-04-01,2678.0
2019-05-01,2544.0
2019-06-01,2561.0
2019-07-01,2297.0
2019-08-01,2237.0
2019-09-01,2247.0
2019-10-01,2371.0
2019-11-01,2352.0
2019-12-01,2328.0
2020-01-01,2311.0
2020-02-01,2221.0
2020-03-01,2368.0
2020-04-01,2365.0
2020-05-01,2460.0
2020-06-01,2537.0
2020-07-01,2789.0
2020-08-01,2751.0
2020-09-01,2490.0
2020-10-01,2470.0
2020-11-01,2470.0
2020-12-01,2624.0
2021-01-01,2619.0
2021-02-01,2671.0
2021-03-01,2716.0
2021-04-01,2637.0
2021-05-01,2411.0
2021-06-01,2434.0
2021-07-01,2289.0
2021-08-01,2332.0
2021-09-01,2206.0
2021-10-01,2079.0
2021-11-01,1986.0
2021-12-01,1880.0
2022-01-01,1896.0
2022-02-01,1990.0
2022-03-01,1707.0
2022-04-01,1726.0
2022-05-01,1874.0
2022-06-01,1928.0
2022-07-01,2236.0
2022-08-01,2099.0
2022-09-01,2269.0
2022-10-01,2520.0
2022-11-01,2544.0
2022-12-01,2387.0
2023-01-01,2690.0
2023-02-01,2674.0
2023-03-01,2753.0
2023-04-01,2648.0
2023-05-01,2248.0
2023-06-01,2378.0
2023-07-01,2405.0
2023-08-01,2375.0
2023-09-01,2533.0
2023-10-01,2547.0
2023-11-01,2417.0
