index,Average weekly earnings including overtime for all employees
2001-01-01,657.14
2001-02-01,653.59
2001-03-01,655.14
2001-04-01,652.44
2001-05-01,652.28
2001-06-01,656.81
2001-07-01,656.43
2001-08-01,659.47
2001-09-01,659.9
2001-10-01,660.91
2001-11-01,659.72
2001-12-01,660.4
2002-01-01,663.15
2002-02-01,659.88
2002-03-01,667.23
2002-04-01,672.2
2002-05-01,671.5
2002-06-01,670.39
2002-07-01,676.83
2002-08-01,672.19
2002-09-01,674.01
2002-10-01,679.38
2002-11-01,680.49
2002-12-01,685.25
2003-01-01,680.53
2003-02-01,686.99
2003-03-01,682.45
2003-04-01,685.87
2003-05-01,684.9
2003-06-01,691.56
2003-07-01,690.92
2003-08-01,694.31
2003-09-01,697.41
2003-10-01,697.03
2003-11-01,700.4
2003-12-01,698.62
2004-01-01,702.03
2004-02-01,701.62
2004-03-01,705.31
2004-04-01,704.2
2004-05-01,710.09
2004-06-01,705.87
2004-07-01,708.8
2004-08-01,711.52
2004-09-01,710.47
2004-10-01,712.26
2004-11-01,717.19
2004-12-01,719.61
2005-01-01,725.39
2005-02-01,731.84
2005-03-01,725.45
2005-04-01,728.74
2005-05-01,733.13
2005-06-01,735.61
2005-07-01,735.92
2005-08-01,741.47
2005-09-01,749.39
2005-10-01,745.57
2005-11-01,744.8
2005-12-01,743.89
2006-01-01,745.72
2006-02-01,745.57
2006-03-01,748.33
2006-04-01,750.54
2006-05-01,751.0
2006-06-01,751.81
2006-07-01,754.53
2006-08-01,758.86
2006-09-01,756.5
2006-10-01,762.11
2006-11-01,760.86
2006-12-01,772.55
2007-01-01,773.79
2007-02-01,770.98
2007-03-01,780.66
2007-04-01,781.51
2007-05-01,785.97
2007-06-01,790.69
2007-07-01,791.74
2007-08-01,789.25
2007-09-01,790.64
2007-10-01,793.85
2007-11-01,799.47
2007-12-01,798.3
2008-01-01,797.95
2008-02-01,803.4
2008-03-01,805.19
2008-04-01,808.86
2008-05-01,808.49
2008-06-01,809.43
2008-07-01,810.91
2008-08-01,811.54
2008-09-01,813.31
2008-10-01,817.91
2008-11-01,818.51
2008-12-01,813.15
2009-01-01,815.84
2009-02-01,818.47
2009-03-01,819.9
2009-04-01,817.54
2009-05-01,818.03
2009-06-01,821.16
2009-07-01,822.17
2009-08-01,821.77
2009-09-01,826.91
2009-10-01,825.25
2009-11-01,828.01
2009-12-01,832.92
2010-01-01,834.25
2010-02-01,841.39
2010-03-01,841.9
2010-04-01,845.63
2010-05-01,846.94
2010-06-01,850.19
2010-07-01,853.46
2010-08-01,858.5
2010-09-01,864.29
2010-10-01,859.99
2010-11-01,863.71
2010-12-01,866.26
2011-01-01,872.64
2011-02-01,870.81
2011-03-01,870.32
2011-04-01,870.09
2011-05-01,871.42
2011-06-01,870.3
2011-07-01,868.77
2011-08-01,872.63
2011-09-01,872.28
2011-10-01,881.79
2011-11-01,880.31
2011-12-01,880.94
2012-01-01,884.91
2012-02-01,881.06
2012-03-01,887.01
2012-04-01,889.63
2012-05-01,889.93
2012-06-01,893.74
2012-07-01,900.48
2012-08-01,904.09
2012-09-01,902.38
2012-10-01,902.88
2012-11-01,903.82
2012-12-01,903.22
2013-01-01,900.71
2013-02-01,905.29
2013-03-01,903.02
2013-04-01,904.54
2013-05-01,912.92
2013-06-01,910.39
2013-07-01,909.56
2013-08-01,911.4
2013-09-01,912.74
2013-10-01,916.5
2013-11-01,923.0
2013-12-01,924.35
2014-01-01,923.34
2014-02-01,926.58
2014-03-01,926.82
2014-04-01,931.54
