timestamp,q_0.05,q_0.95,q_0.5
2019-07-01,157.77,162.12,159.8
2019-08-01,152.17000000000002,160.7,156.25
2019-08-01,146.945,159.0,153.55
2019-09-01,145.59,159.52,153.85
2019-09-01,155.14999999999998,170.565,162.4
2019-10-01,160.94,178.82,169.2
2019-10-01,162.66,184.0,171.14999999999998
2019-11-01,161.47,187.805,173.0
2019-11-01,159.105,185.285,172.2
2019-12-01,154.115,184.13,167.6
2019-12-01,155.11,185.625,169.65
2020-01-01,157.965,194.525,174.6
2020-01-01,155.57500000000002,192.875,172.9
2020-02-01,150.67000000000002,189.965,171.35000000000002
2020-03-01,147.58,189.365,168.45
2020-04-01,145.435,191.255,168.60000000000002
2020-05-01,151.705,201.065,177.55
2020-06-01,157.715,211.265,182.9
