index,Energy
1998-04-01,80.0
1998-05-01,81.2
1998-06-01,81.1
1998-07-01,80.4
1998-08-01,80.3
1998-09-01,79.1
1998-10-01,80.8
1998-11-01,80.3
1998-12-01,79.4
1999-01-01,79.5
1999-02-01,78.9
1999-03-01,80.0
1999-04-01,83.0
1999-05-01,83.6
1999-06-01,83.0
1999-07-01,84.8
1999-08-01,87.8
1999-09-01,89.0
1999-10-01,90.1
1999-11-01,89.3
1999-12-01,91.3
2000-01-01,91.5
2000-02-01,94.2
2000-03-01,97.9
2000-04-01,94.3
2000-05-01,95.4
2000-06-01,99.1
2000-07-01,99.9
2000-08-01,98.2
2000-09-01,102.5
2000-10-01,103.8
2000-11-01,105.4
2000-12-01,103.7
2001-01-01,101.0
2001-02-01,100.2
2001-03-01,101.5
2001-04-01,105.2
2001-05-01,110.7
2001-06-01,109.3
2001-07-01,102.7
2001-08-01,102.9
2001-09-01,105.7
2001-10-01,101.0
2001-11-01,92.2
2001-12-01,91.9
2002-01-01,94.0
2002-02-01,94.4
2002-03-01,98.1
2002-04-01,99.9
2002-05-01,99.1
2002-06-01,98.0
2002-07-01,99.5
2002-08-01,102.9
2002-09-01,103.9
2002-10-01,106.8
2002-11-01,105.1
2002-12-01,98.4
2003-01-01,108.3
2003-02-01,113.0
2003-03-01,115.3
2003-04-01,106.0
2003-05-01,103.7
2003-06-01,105.7
2003-07-01,106.2
2003-08-01,110.7
2003-09-01,110.6
2003-10-01,105.7
2003-11-01,104.4
2003-12-01,105.1
2004-01-01,107.1
2004-02-01,109.5
2004-03-01,110.6
2004-04-01,112.8
2004-05-01,120.5
2004-06-01,119.4
2004-07-01,117.5
2004-08-01,117.6
2004-09-01,117.0
2004-10-01,119.5
2004-11-01,117.1
2004-12-01,113.6
2005-01-01,115.0
2005-02-01,117.5
2005-03-01,121.0
2005-04-01,124.9
2005-05-01,122.5
2005-06-01,124.1
2005-07-01,128.3
2005-08-01,132.2
2005-09-01,142.1
2005-10-01,135.6
2005-11-01,127.4
2005-12-01,125.2
2006-01-01,132.7
2006-02-01,127.1
2006-03-01,130.0
2006-04-01,138.9
2006-05-01,139.8
2006-06-01,138.4
2006-07-01,142.0
2006-08-01,141.7
2006-09-01,128.8
2006-10-01,123.8
2006-11-01,123.8
2006-12-01,127.1
2007-01-01,125.2
2007-02-01,127.1
2007-03-01,135.9
2007-04-01,139.1
2007-05-01,142.0
2007-06-01,140.1
2007-07-01,139.6
2007-08-01,136.4
2007-09-01,136.6
2007-10-01,134.5
2007-11-01,136.5
2007-12-01,138.2
2008-01-01,139.0
2008-02-01,139.4
2008-03-01,143.2
2008-04-01,150.2
2008-05-01,158.4
2008-06-01,165.3
2008-07-01,169.1
2008-08-01,164.0
2008-09-01,161.5
2008-10-01,147.5
2008-11-01,130.7
2008-12-01,123.0
2009-01-01,123.8
2009-02-01,127.2
2009-03-01,127.1
2009-04-01,123.9
2009-05-01,129.4
2009-06-01,133.9
2009-07-01,129.6
2009-08-01,132.6
2009-09-01,131.3
2009-10-01,128.8
2009-11-01,132.4
2009-12-01,130.3
2010-01-01,133.9
2010-02-01,132.3
2010-03-01,134.5
2010-04-01,136.0
2010-05-01,137.4
2010-06-01,135.7
2010-07-01,139.8
2010-08-01,139.2
2010-09-01,138.7
2010-10-01,140.5
2010-11-01,141.3
2010-12-01,144.0
2011-01-01,146.0
2011-02-01,146.3
2011-03-01,151.7
2011-04-01,159.2
2011-05-01,160.2
2011-06-01,157.0
2011-07-01,157.9
2011-08-01,157.9
2011-09-01,156.0
2011-10-01,156.9
2011-11-01,154.1
2011-12-01,152.7
2012-01-01,155.5
2012-02-01,156.9
2012-03-01,159.5
2012-04-01,161.0
2012-05-01,157.7
2012-06-01,155.7
2012-07-01,156.0
2012-08-01,159.2
2012-09-01,160.6
2012-10-01,159.5
2012-11-01,153.8
2012-12-01,151.9
2013-01-01,152.8
2013-02-01,160.1
2013-03-01,159.9
2013-04-01,158.0
2013-05-01,159.3
2013-06-01,162.1
2013-07-01,164.2
2013-08-01,163.0
2013-09-01,163.0
2013-10-01,157.0
2013-11-01,157.4
2013-12-01,158.9
2014-01-01,160.2
2014-02-01,162.6
2014-03-01,167.2
2014-04-01,171.2
2014-05-01,172.7
2014-06-01,173.0
2014-07-01,171.9
2014-08-01,168.3
2014-09-01,167.4
2014-10-01,163.6
2014-11-01,156.5
2014-12-01,148.7
2015-01-01,139.5
2015-02-01,145.1
2015-03-01,149.8
2015-04-01,148.1
2015-05-01,152.4
2015-06-01,157.5
2015-07-01,159.2
2015-08-01,156.1
2015-09-01,149.3
2015-10-01,146.6
2015-11-01,146.5
2015-12-01,143.4
2016-01-01,139.0
2016-02-01,134.6
2016-03-01,138.1
2016-04-01,143.4
2016-05-01,146.9
2016-06-01,150.6
2016-07-01,147.4
2016-08-01,147.0
2016-09-01,147.3
2016-10-01,150.2
2016-11-01,146.8
2016-12-01,149.1
2017-01-01,155.8
2017-02-01,151.1
2017-03-01,149.8
2017-04-01,157.2
2017-05-01,151.8
2017-06-01,148.7
2017-07-01,147.8
2017-08-01,150.4
2017-09-01,154.5
2017-10-01,151.7
2017-11-01,157.9
2017-12-01,155.8
2018-01-01,159.5
2018-02-01,159.1
2018-03-01,161.0
2018-04-01,167.1
2018-05-01,169.4
2018-06-01,167.2
2018-07-01,168.8
2018-08-01,167.2
2018-09-01,166.3
2018-10-01,163.7
2018-11-01,155.8
2018-12-01,150.1
2019-01-01,148.5
2019-02-01,150.1
2019-03-01,159.1
2019-04-01,168.2
2019-05-01,169.2
2019-06-01,160.3
2019-07-01,163.4
2019-08-01,159.3
2019-09-01,158.7
2019-10-01,158.9
2019-11-01,158.1
2019-12-01,158.3
2020-01-01,158.6
2020-02-01,156.6
2020-03-01,140.6
2020-04-01,128.3
2020-05-01,137.0
2020-06-01,146.2
2020-07-01,149.7
2020-08-01,149.3
2020-09-01,149.8
2020-10-01,149.4
2020-11-01,149.1
2020-12-01,152.0
2021-01-01,154.3
2021-02-01,160.4
2021-03-01,167.4
2021-04-01,170.2
2021-05-01,173.2
2021-06-01,174.7
2021-07-01,179.2
2021-08-01,180.2
2021-09-01,179.9
2021-10-01,187.5
2021-11-01,188.4
2021-12-01,184.2
2022-01-01,190.0
2022-02-01,199.0
2022-03-01,213.9
2022-04-01,215.1
2022-05-01,233.4
2022-06-01,242.5
2022-07-01,229.4
2022-08-01,214.5
2022-09-01,205.1
2022-10-01,217.9
2022-11-01,214.6
2022-12-01,197.7
2023-01-01,200.3
2023-02-01,197.9
2023-03-01,199.2
2023-04-01,206.0
2023-05-01,204.4
2023-06-01,207.2
2023-07-01,210.7
2023-08-01,218.4
2023-09-01,216.2
2023-10-01,206.2
2023-11-01,202.3
2023-12-01,197.0
2024-01-01,194.9
2024-02-01,200.4
2024-03-01,204.7
2024-04-01,215.2
2024-05-01,212.8
2024-06-01,208.3
