index,RECPROUSM156N
1986-01-01,0.24
1986-02-01,0.54
1986-03-01,0.48
1986-04-01,0.22
1986-05-01,0.3
1986-06-01,0.38
1986-07-01,0.08
1986-08-01,0.16
1986-09-01,0.1
1986-10-01,0.18
1986-11-01,0.18
1986-12-01,0.14
1987-01-01,0.76
1987-02-01,0.12
1987-03-01,0.16
1987-04-01,0.1
1987-05-01,0.1
1987-06-01,0.12
1987-07-01,0.12
1987-08-01,0.12
1987-09-01,0.14
1987-10-01,0.06
1987-11-01,0.16
1987-12-01,0.16
1988-01-01,0.48
1988-02-01,0.14
1988-03-01,0.14
1988-04-01,0.12
1988-05-01,0.24
1988-06-01,0.16
1988-07-01,0.16
1988-08-01,0.16
1988-09-01,0.16
1988-10-01,0.14
1988-11-01,0.14
1988-12-01,0.1
1989-01-01,0.22
1989-02-01,0.74
1989-03-01,0.7
1989-04-01,0.94
1989-05-01,1.48
1989-06-01,1.5
1989-07-01,1.7
1989-08-01,0.44
1989-09-01,0.5
1989-10-01,0.54
1989-11-01,0.36
1989-12-01,0.34
1990-01-01,0.44
1990-02-01,0.32
1990-03-01,0.58
1990-04-01,1.4
1990-05-01,1.8
1990-06-01,3.5
1990-07-01,10.12
1990-08-01,19.5
1990-09-01,36.8
1990-10-01,59.0
1990-11-01,63.38
1990-12-01,61.12
1991-01-01,58.86
1991-02-01,51.58
1991-03-01,33.18
1991-04-01,4.12
1991-05-01,0.74
1991-06-01,0.5
1991-07-01,0.56
1991-08-01,0.5
1991-09-01,0.46
1991-10-01,1.2
1991-11-01,1.12
1991-12-01,1.02
1992-01-01,0.5
1992-02-01,0.22
1992-03-01,0.16
1992-04-01,0.2
1992-05-01,0.2
1992-06-01,0.2
1992-07-01,0.2
1992-08-01,0.5
1992-09-01,0.3
1992-10-01,0.24
1992-11-01,0.26
1992-12-01,0.22
1993-01-01,0.22
1993-02-01,0.28
1993-03-01,0.84
1993-04-01,0.14
1993-05-01,0.28
1993-06-01,0.22
1993-07-01,0.18
1993-08-01,0.16
1993-09-01,0.08
1993-10-01,0.04
1993-11-01,0.04
1993-12-01,0.02
1994-01-01,0.08
1994-02-01,0.06
1994-03-01,0.02
1994-04-01,0.08
1994-05-01,0.12
1994-06-01,0.06
1994-07-01,0.08
1994-08-01,0.1
1994-09-01,0.1
1994-10-01,0.1
1994-11-01,0.1
1994-12-01,0.1
1995-01-01,0.16
1995-02-01,0.42
1995-03-01,0.38
1995-04-01,0.46
1995-05-01,0.18
1995-06-01,0.16
1995-07-01,0.3
1995-08-01,0.16
1995-09-01,0.12
1995-10-01,0.32
1995-11-01,0.22
1995-12-01,0.26
1996-01-01,0.66
1996-02-01,0.2
1996-03-01,0.3
1996-04-01,0.22
1996-05-01,0.18
1996-06-01,0.16
1996-07-01,0.2
1996-08-01,0.12
1996-09-01,0.1
1996-10-01,0.06
1996-11-01,0.1
1996-12-01,0.08
1997-01-01,0.02
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.08
1997-05-01,0.02
1997-06-01,0.02
1997-07-01,0.04
1997-08-01,0.0
1997-09-01,0.02
1997-10-01,0.02
1997-11-01,0.04
1997-12-01,0.06
1998-01-01,0.06
1998-02-01,0.08
1998-03-01,0.18
1998-04-01,0.12
1998-05-01,0.14
1998-06-01,0.64
1998-07-01,0.64
1998-08-01,0.08
1998-09-01,0.1
1998-10-01,0.04
1998-11-01,0.16
1998-12-01,0.1
1999-01-01,0.04
1999-02-01,0.1
1999-03-01,0.18
1999-04-01,0.12
1999-05-01,0.1
1999-06-01,0.18
1999-07-01,0.12
1999-08-01,0.16
1999-09-01,0.34
1999-10-01,0.06
1999-11-01,0.12
1999-12-01,0.08
2000-01-01,0.18
2000-02-01,0.16
2000-03-01,0.08
2000-04-01,0.14
2000-05-01,0.24
2000-06-01,0.5
2000-07-01,0.7
2000-08-01,0.8
2000-09-01,1.14
2000-10-01,3.72
2000-11-01,5.54
2000-12-01,9.02
2001-01-01,16.64
2001-02-01,22.36
2001-03-01,28.48
2001-04-01,34.2
2001-05-01,33.56
2001-06-01,34.08
2001-07-01,33.24
2001-08-01,31.56
2001-09-01,31.58
2001-10-01,24.9
2001-11-01,19.18
2001-12-01,9.0
2002-01-01,3.24
2002-02-01,1.9
2002-03-01,0.86
2002-04-01,0.7
2002-05-01,0.54
2002-06-01,0.52
2002-07-01,1.04
