Date,Total wheat milled ,Total wheat flour produced ,Millfeeds produced 
1995-08-01,256,183.0,66.0
1995-09-01,233,171.0,58.0
1995-10-01,236,175.0,58.0
1995-11-01,248,182.0,63.0
1995-12-01,215,158.0,56.0
1996-01-01,199,148.0,50.0
1996-02-01,236,173.0,63.0
1996-03-01,210,156.0,50.0
1996-04-01,204,153.0,53.0
1996-05-01,240,174.0,63.0
1996-06-01,229,166.0,56.0
1996-07-01,215,161.0,55.0
1996-08-01,258,189.0,65.0
1996-09-01,245,178.0,57.0
1996-10-01,249,197.0,62.0
1996-11-01,248,186.0,68.0
1996-12-01,219,164.0,54.0
1997-01-01,208,154.0,52.0
1997-02-01,232,177.0,57.0
1997-03-01,223,160.0,63.0
1997-04-01,223,165.0,54.0
1997-05-01,234,172.0,52.0
1997-06-01,241,176.0,61.0
1997-07-01,242,176.0,61.0
1997-08-01,242,192.0,60.0
1997-09-01,249,193.0,56.0
1997-10-01,261,193.0,62.0
1997-11-01,254,190.0,63.0
1997-12-01,236,180.0,61.0
1998-01-01,217,166.0,54.0
1998-02-01,231,174.0,57.0
1998-03-01,225,172.0,59.0
1998-04-01,225,173.0,64.0
1998-05-01,240,186.0,61.0
1998-06-01,241,184.0,59.0
1998-07-01,266,205.0,68.0
1998-08-01,259,196.0,71.0
1998-09-01,259,194.0,65.0
1998-10-01,258,196.0,69.0
1998-11-01,268,199.0,66.0
1998-12-01,250,186.0,63.0
1999-01-01,229,171.0,56.0
1999-02-01,241,175.0,60.0
1999-03-01,252,184.0,62.0
1999-04-01,234,174.0,58.0
1999-05-01,288,186.0,62.0
1999-06-01,256,192.0,64.0
1999-07-01,246,183.0,63.0
1999-08-01,270,204.0,69.0
1999-09-01,264,196.0,65.0
1999-10-01,261,198.0,67.0
1999-11-01,273,206.0,73.0
1999-12-01,256,192.0,65.0
2000-01-01,221,165.0,59.0
2000-02-01,244,183.0,63.0
2000-03-01,249,187.0,64.0
2000-04-01,231,175.0,56.0
2000-05-01,256,192.0,64.0
2000-06-01,248,185.0,60.0
2000-07-01,246,197.0,27.0
2000-08-01,273,211.0,66.0
2000-09-01,268,207.0,65.0
2000-10-01,267,207.0,63.0
2000-11-01,283,217.0,69.0
2000-12-01,250,191.0,61.0
2001-01-01,232,178.0,57.0
2001-02-01,259,200.0,64.0
2001-03-01,248,191.0,62.0
2001-04-01,239,182.0,58.0
2001-05-01,262,202.0,64.0
2001-06-01,260,199.0,61.0
2001-07-01,248,187.0,52.0
2001-08-01,272,209.0,69.0
2001-09-01,275,211.0,69.0
2001-10-01,276,213.0,69.0
2001-11-01,288,226.0,71.0
2001-12-01,247,191.0,60.0
2002-01-01,253,196.0,66.0
2002-02-01,255,198.0,64.0
2002-03-01,244,189.0,62.0
2002-04-01,252,196.0,64.0
2002-05-01,268,205.0,71.0
2002-06-01,238,180.0,63.0
2002-07-01,275,188.0,70.0
2002-08-01,285,222.0,72.0
2002-09-01,277,214.0,72.0
2002-10-01,294,225.0,75.0
2002-11-01,305,231.0,78.0
2002-12-01,265,200.0,67.0
2003-01-01,259,198.0,66.0
2003-02-01,261,197.0,67.0
2003-03-01,259,197.0,65.0
2003-04-01,262,201.0,66.0
2003-05-01,258,198.0,67.0
2003-06-01,245,187.0,59.0
2003-07-01,246,187.0,62.0
2003-08-01,278,209.0,71.0
2003-09-01,282,212.0,73.0
2003-10-01,284,217.0,65.0
2003-11-01,274,209.0,70.0
2003-12-01,246,188.0,60.0
2004-01-01,243,187.0,61.0
2004-02-01,260,199.0,65.0
2004-03-01,255,195.0,62.0
2004-04-01,245,188.0,59.0
2004-05-01,250,194.0,62.0
2004-06-01,241,184.0,59.0
2004-07-01,294,226.0,74.0
2004-08-01,266,207.0,62.0
2004-09-01,286,222.0,67.0
2004-10-01,272,211.0,62.0
2004-11-01,279,213.0,66.0
2004-12-01,267,202.0,65.0
2005-01-01,261,194.0,64.0
2005-02-01,252,185.0,59.0
2005-03-01,268,203.0,67.0
2005-04-01,255,193.0,59.0
2005-05-01,269,201.0,64.0
2005-06-01,278,208.0,67.0
2005-07-01,257,192.0,62.0
2005-08-01,292,224.0,74.0
2005-09-01,296,223.0,75.0
2005-10-01,295,217.0,71.0
2005-11-01,285,214.0,70.0
2005-12-01,263,192.0,62.0
2006-01-01,255,198.0,65.0
2006-02-01,231,169.0,57.0
2006-03-01,273,204.0,67.0
2006-04-01,242,181.0,62.0
2006-05-01,281,208.0,69.0
2006-06-01,280,212.0,70.0
2006-07-01,256,193.0,67.0
2006-08-01,287,219.0,73.0
2006-09-01,277,215.0,71.0
2006-10-01,297,225.0,75.0
2006-11-01,292,221.0,73.0
2006-12-01,265,200.0,68.0
2007-01-01,275,209.0,69.0
2007-02-01,253,192.0,64.0
2007-03-01,270,206.0,66.0
2007-04-01,246,187.0,60.0
2007-05-01,255,194.0,62.0
2007-06-01,260,199.0,72.0
2007-07-01,253,193.0,63.0
2007-08-01,275,212.0,68.0
2007-09-01,260,198.0,65.0
2007-10-01,270,203.0,66.0
2007-11-01,282,213.0,68.0
2007-12-01,245,184.0,61.0
2008-01-01,256,192.0,62.0
2008-02-01,234,174.0,57.0
2008-03-01,241,180.0,59.0
2008-04-01,251,190.0,60.0
2008-05-01,249,184.0,60.0
2008-06-01,243,185.0,59.0
2008-07-01,257,193.0,62.0
2008-08-01,237,177.0,60.0
2008-09-01,248,186.0,64.0
2008-10-01,260,198.0,62.0
2008-11-01,243,184.0,61.0
2008-12-01,236,180.0,59.0
2009-01-01,229,173.0,56.0
2009-02-01,217,166.0,52.0
2009-03-01,243,185.0,59.0
2009-04-01,236,182.0,57.0
2009-05-01,236,179.0,57.0
2009-06-01,253,197.0,60.0
2009-07-01,259,196.0,61.0
2009-08-01,252,191.0,61.0
2009-09-01,267,205.0,64.0
2009-10-01,275,209.0,66.0
2009-11-01,257,200.0,62.0
2009-12-01,255,197.0,61.0
2010-01-01,239,182.0,57.0
2010-02-01,226,173.0,55.0
2010-03-01,250,195.0,60.0
2010-04-01,241,186.0,58.0
2010-05-01,245,179.0,57.0
2010-06-01,262,200.0,63.0
2010-07-01,249,193.0,60.0
2010-08-01,262,208.0,64.0
2010-09-01,260,200.0,64.0
2010-10-01,264,201.0,62.0
2010-11-01,272,210.0,66.0
2010-12-01,237,185.0,55.0
2011-01-01,236,180.0,57.0
2011-02-01,217,168.0,52.0
2011-03-01,257,199.0,61.0
2011-04-01,230,178.0,55.0
2011-05-01,241,183.0,58.0
2011-06-01,249,189.0,60.0
2011-07-01,240,185.0,57.0
2011-08-01,264,201.0,62.0
2011-09-01,254,195.0,62.0
2011-10-01,253,192.0,60.0
2011-11-01,250,193.0,59.0
2011-12-01,223,170.0,51.0
2012-01-01,224,172.0,53.0
2012-02-01,216,169.0,51.0
2012-03-01,236,181.0,54.0
2012-04-01,220,168.0,51.0
2012-05-01,238,184.0,55.0
2012-06-01,237,181.0,56.0
2012-07-01,252,191.0,59.0
2012-08-01,245,194.0,57.0
2012-09-01,242,186.0,57.0
2012-10-01,259,200.0,62.0
2012-11-01,256,203.0,60.0
2012-12-01,219,170.0,53.0
2013-01-01,241,188.0,57.0
2013-02-01,210,164.0,50.0
2013-03-01,223,173.0,53.0
2013-04-01,231,182.0,60.0
2013-05-01,243,187.0,57.0
2013-06-01,234,181.0,55.0
2013-07-01,266,188.0,59.0
2013-08-01,246,192.0,58.0
2013-09-01,253,196.0,61.0
2013-10-01,264,206.0,62.0
2013-11-01,250,193.0,60.0
2013-12-01,213,167.0,51.0
2014-01-01,247,192.0,58.0
2014-02-01,216,172.0,52.0
2014-03-01,232,181.0,54.0
2014-04-01,237,182.0,53.0
2014-05-01,247,193.0,56.0
2014-06-01,245,191.0,56.0
2014-07-01,306,206.0,61.0
2014-08-01,248,190.0,56.0
2014-09-01,250,195.0,59.0
2014-10-01,266,208.0,61.0
2014-11-01,244,191.0,56.0
2014-12-01,232,180.0,54.0
2015-01-01,248,187.0,57.0
2015-02-01,213,171.0,52.0
2015-03-01,249,191.0,59.0
2015-04-01,231,182.0,54.0
2015-05-01,243,193.0,58.0
2015-06-01,255,197.0,60.0
2015-07-01,295,195.0,59.0
2015-08-01,252,193.0,62.0
2015-09-01,270,203.0,63.0
2015-10-01,270,209.0,63.0
2015-11-01,265,199.0,64.0
2015-12-01,247,190.0,59.0
2016-01-01,243,188.0,55.0
2016-02-01,245,190.0,58.0
2016-03-01,250,184.0,58.0
2016-04-01,238,183.0,57.0
2016-05-01,246,184.0,56.0
2016-06-01,259,200.0,60.0
2016-07-01,308,198.0,60.0
2016-08-01,269,200.0,63.0
2016-09-01,262,200.0,61.0
2016-10-01,264,196.0,60.0
2016-11-01,260,200.0,61.0
2016-12-01,236,179.0,55.0
2017-01-01,249,190.0,56.0
2017-02-01,219,166.0,52.0
2017-03-01,259,198.0,59.0
2017-04-01,216,171.0,53.0
2017-05-01,250,197.0,60.0
