Date,WUI
2008-01-01,17245.1
2008-02-01,16059.4
2008-03-01,11945.0
2008-04-01,14277.7
2008-05-01,14969.4
2008-06-01,16455.9
2008-07-01,9904.0
2008-08-01,12619.1
2008-09-01,13118.5
2008-10-01,15511.1
2008-11-01,16251.2
2008-12-01,11388.4
2009-01-01,11772.6
2009-02-01,15087.5
2009-03-01,20401.9
2009-04-01,16736.2
2009-05-01,16066.2
2009-06-01,17881.6
2009-07-01,12265.1
2009-08-01,14420.2
2009-09-01,13766.3
2009-10-01,19294.3
2009-11-01,20780.4
2009-12-01,19363.2
2010-01-01,23146.1
2010-02-01,29661.9
2010-03-01,19562.9
2010-04-01,23612.8
2010-05-01,22580.2
2010-06-01,23196.6
2010-07-01,20535.6
2010-08-01,32177.1
2010-09-01,20655.9
2010-10-01,27171.7
2010-11-01,13966.6
2010-12-01,14303.5
2011-01-01,15449.5
2011-02-01,14260.6
2011-03-01,12549.4
2011-04-01,10858.8
2011-05-01,14147.1
2011-06-01,12621.0
2011-07-01,16853.6
2011-08-01,15732.1
2011-09-01,18687.1
2011-10-01,22334.1
2011-11-01,18310.8
2011-12-01,17926.6
2012-01-01,18402.1
2012-02-01,18511.6
2012-03-01,18355.3
2012-04-01,15813.3
2012-05-01,14609.7
2012-06-01,36236.6
2012-07-01,33079.3
2012-08-01,35269.3
2012-09-01,24828.1
2012-10-01,20310.6
2012-11-01,30968.9
2012-12-01,39555.1
2013-01-01,30948.8
2013-02-01,20086.7
2013-03-01,31259.5
2013-04-01,20386.5
2013-05-01,14386.6
2013-06-01,13789.7
2013-07-01,15417.2
2013-08-01,14158.7
2013-09-01,15448.9
2013-10-01,21717.7
2013-11-01,12641.3
2013-12-01,17539.4
2014-01-01,21842.7
2014-02-01,21788.2
2014-03-01,19225.9
2014-04-01,13590.3
2014-05-01,17282.3
2014-06-01,19739.8
2014-07-01,20342.3
2014-08-01,13934.6
2014-09-01,14068.0
2014-10-01,14333.0
2014-11-01,25064.3
2014-12-01,17021.8
2015-01-01,25444.0
2015-02-01,29456.7
2015-03-01,29700.5
2015-04-01,22530.2
2015-05-01,21803.7
2015-06-01,25042.2
2015-07-01,26689.9
2015-08-01,22015.0
2015-09-01,20895.2
2015-10-01,25572.9
2015-11-01,21317.0
2015-12-01,16845.9
2016-01-01,18498.8
2016-02-01,20446.4
2016-03-01,22191.5
2016-04-01,15032.1
2016-05-01,21466.5
2016-06-01,17423.5
2016-07-01,45973.4
2016-08-01,44083.8
2016-09-01,28374.1
2016-10-01,18582.5
2016-11-01,26743.5
2016-12-01,30556.1
2017-01-01,38065.0
2017-02-01,34721.7
2017-03-01,28585.1
2017-04-01,22038.3
2017-05-01,20300.9
2017-06-01,15384.2
2017-07-01,16915.2
2017-08-01,21568.0
2017-09-01,15469.0
2017-10-01,20376.2
2017-11-01,20821.3
2017-12-01,27945.3
2018-01-01,21420.1
2018-02-01,17493.1
2018-03-01,12197.9
2018-04-01,12920.1
2018-05-01,19883.1
2018-06-01,25859.4
2018-07-01,22117.7
2018-08-01,30926.8
2018-09-01,27915.3
2018-10-01,22779.5
2018-11-01,18793.4
2018-12-01,26231.1
2019-01-01,36382.3
2019-02-01,51178.6
2019-03-01,35809.0
2019-04-01,27627.6
2019-05-01,57518.0
2019-06-01,41085.6
2019-07-01,22822.2
2019-08-01,33126.3
2019-09-01,32220.9
2019-10-01,39475.4
2019-11-01,39040.4
2019-12-01,52683.2
2020-01-01,42258.7
2020-02-01,39762.5
2020-03-01,56223.6
2020-04-01,21439.0
2020-05-01,26490.7
2020-06-01,28737.9
2020-07-01,26888.3
2020-08-01,20430.0
2020-09-01,26409.8
2020-10-01,28194.5
2020-11-01,25062.2
2020-12-01,14886.4
2021-01-01,11956.5
2021-02-01,9050.3
2021-03-01,13602.1
2021-04-01,14890.0
2021-05-01,15392.9
2021-06-01,21543.4
2021-07-01,19371.4
2021-08-01,17169.7
2021-09-01,23904.0
2021-10-01,10477.8
2021-11-01,14556.5
2021-12-01,28225.8
2022-01-01,25576.8
2022-02-01,25212.7
2022-03-01,27256.8
2022-04-01,41669.1
2022-05-01,25064.4
2022-06-01,23022.7
2022-07-01,19588.1
2022-08-01,31577.9
2022-09-01,22559.7
2022-10-01,28962.7
2022-11-01,34628.5
2022-12-01,17406.0
2023-01-01,29339.8
2023-02-01,32027.8
2023-03-01,17736.5
2023-04-01,37638.8
2023-05-01,37309.4
2023-06-01,17679.0
2023-07-01,15649.5
2023-08-01,22258.0
2023-09-01,16389.5
2023-10-01,15354.5
2023-11-01,17278.8
2023-12-01,17109.0
2024-01-01,17865.7
2024-02-01,16358.1
2024-03-01,17273.9
2024-04-01,16746.0
2024-05-01,15083.3
2024-06-01,14606.0
2024-07-01,15929.9
2024-08-01,21425.4
2024-09-01,20372.4
2024-10-01,21669.2
2024-11-01,24333.0
2024-12-01,30375.6
2025-01-01,41383.2
2025-02-01,48816.0
2025-03-01,53189.5
2025-04-01,72733.5
2025-05-01,77997.7
2025-06-01,84305.3
2025-07-01,95509.3
2025-08-01,105558.3
