"Monthly retail trade sales by province and territory (x 1,000) 1 2"
"Frequency: Monthly"
"Table: 20-10-0056-01"
"Release date: 2024-07-19"
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part"
""
""

"Geography","Canada",,
"North American Industry Classification System (NAICS)","Grocery and convenience retailers  [4451]","Supermarkets and other grocery retailers (except convenience retailers)  [44511]","Convenience retailers and vending machine operators  [44513]"
"Sales","Total retail sales","Total retail sales","Total retail sales"
"Adjustments","Unadjusted","Unadjusted","Unadjusted"
"Reference period"
,"Dollars",,
"January 2017","7,123,414","6,546,387","577,027"
"February 2017","6,786,225","6,228,959","557,266"
"March 2017","7,538,707","6,930,802","607,905"
"April 2017","7,481,816","6,843,494","638,323"
"May 2017","7,874,678","7,195,931","678,746"
"June 2017","8,103,221","7,391,281","711,941"
"July 2017","8,101,528","7,350,966","750,563"
"August 2017","7,788,885","7,072,014","716,871"
"September 2017","7,837,582","7,136,075","701,507"
"October 2017","7,526,414","6,829,132","697,282"
"November 2017","7,350,888","6,719,294","631,594"
"December 2017","8,434,848","7,765,992","668,855"
"January 2018","7,231,507","6,652,799","578,707"
"February 2018","6,809,228","6,252,665","556,563"
"March 2018","7,863,765","7,215,314","648,451"
"April 2018","7,339,529","6,701,215","638,314"
"May 2018","8,154,928","7,416,567","738,361"
"June 2018","8,435,689","7,677,644","758,045"
"July 2018","8,125,646","7,297,768","827,878"
"August 2018","8,249,692","7,474,083","775,609"
"September 2018","8,252,475","7,529,519","722,956"
"October 2018","7,903,978","7,186,441","717,537"
"November 2018","7,773,555","7,094,408","679,147"
"December 2018","8,484,893","7,787,893","697,000"
"January 2019","7,840,470","7,245,385","595,085"
"February 2019","7,314,408","6,747,446","566,961"
"March 2019","8,156,968","7,521,741","635,227"
"April 2019","7,789,513","7,146,927","642,586"
"May 2019","8,464,618","7,756,476","708,142"
"June 2019","8,422,292","7,697,097","725,195"
"July 2019","8,382,865","7,632,392","750,473"
"August 2019","8,596,500","7,859,779","736,721"
"September 2019","7,897,061","7,216,680","680,381"
"October 2019","8,198,606","7,525,211","673,396"
"November 2019","8,173,733","7,550,302","623,431"
"December 2019","8,615,389","7,935,887","679,502"
"January 2020","8,188,610","7,583,554","605,055"
"February 2020","7,779,152","7,195,396","583,756"
"March 2020","9,850,601","9,215,833","634,768"
"April 2020","9,137,772","8,434,492","703,280"
"May 2020","9,691,493","8,840,212","851,281"
"June 2020","9,203,975","8,410,353","793,621"
"July 2020","9,487,537","8,656,585","830,952"
"August 2020","9,081,152","8,309,280","771,872"
"September 2020","8,800,689","8,062,639","738,050"
"October 2020","9,522,594","8,776,307","746,287"
"November 2020","8,867,330","8,171,196","696,135"
"December 2020","9,765,597","9,016,558","749,039"
"January 2021","9,446,091","8,775,800","670,292"
"February 2021","8,294,973","7,672,266","622,707"
"March 2021","8,787,587","8,086,089","701,498"
"April 2021","9,050,298","8,325,954","724,344"
"May 2021","9,572,684","8,796,521","776,164"
"June 2021","9,085,745","8,270,478","815,267"
"July 2021","9,347,332","8,546,655","800,677"
"August 2021","8,886,893","8,093,278","793,616"
"September 2021","8,896,650","8,137,248","759,402"
"October 2021","9,191,584","8,466,003","725,581"
"November 2021","8,711,813","8,073,500","638,312"
"December 2021","9,612,215","8,922,421","689,794"
"January 2022","8,897,592","8,263,366","634,225"
"February 2022","8,020,829","7,432,273","588,557"
"March 2022","8,935,486","8,292,703","642,783"
"April 2022","9,052,541","8,373,385","679,157"
"May 2022","9,261,943","8,511,327","750,616"
"June 2022","9,239,893","8,477,158","762,735"
"July 2022","9,561,547","8,764,838","796,709"
"August 2022","9,237,983","8,467,297","770,686"
"September 2022","9,107,200","8,378,014","729,186"
"October 2022","9,392,417","8,668,847","723,571"
"November 2022","9,038,653","8,392,653","645,999"
"December 2022","10,284,261","9,605,318","678,943"
"January 2023","8,986,341","8,339,349","646,992"
"February 2023","8,481,362","7,859,477","621,885"
"March 2023","9,571,433","8,866,561","704,872"
"April 2023","9,523,663","8,787,981","735,682"
"May 2023","10,076,812","9,281,237","795,575"
"June 2023","10,094,662","9,282,809","811,853"
"July 2023","10,201,814","9,360,078","841,735"
"August 2023","9,916,501","9,094,355","822,146"
"September 2023","9,839,442","9,044,947","794,495"
"October 2023","9,551,586","8,816,427","735,159"
"November 2023","9,346,952","8,684,172","662,780"
"December 2023","10,562,863","9,846,802","716,061"
"January 2024","9,259,854","8,624,974","634,880"
"February 2024","9,008,602","8,373,316","635,286"
"March 2024","9,874,987","9,182,012","692,975"
"April 2024","9,349,996","8,660,083","689,913"
"May 2024","10,231,845","9,448,356","783,489"

Symbol legend:
A, data quality: excellent
B, data quality: very good




Footnotes:
1,"This table replaces table 20-10-0008."
2,"Quality indicator: Code A=Excellent. Code B=Very good. Code C=Good. Code D=Acceptable. Code E=Poor, use with caution. Code F=Unreliable (data not published)."



"How to cite: Statistics Canada. Table 20-10-0056-01  Monthly retail trade sales by province and territory (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010005601
