DATE,CES0500000011
2006-03-01,685.71
2006-04-01,691.15
2006-05-01,690.46
2006-06-01,695.91
2006-07-01,695.95
2006-08-01,696.98
2006-09-01,702.10
2006-10-01,700.75
2006-11-01,702.81
2006-12-01,709.67
2007-01-01,706.24
2007-02-01,709.32
2007-03-01,713.11
2007-04-01,714.83
2007-05-01,716.90
2007-06-01,722.78
2007-07-01,720.68
2007-08-01,722.40
2007-09-01,723.78
2007-10-01,722.36
2007-11-01,726.53
2007-12-01,728.25
2008-01-01,729.28
2008-02-01,729.22
2008-03-01,734.78
2008-04-01,735.47
2008-05-01,738.57
2008-06-01,739.94
2008-07-01,740.88
2008-08-01,744.31
2008-09-01,742.82
2008-10-01,746.37
2008-11-01,745.77
2008-12-01,743.77
2009-01-01,746.64
2009-02-01,747.66
2009-03-01,745.63
2009-04-01,746.64
2009-05-01,747.32
2009-06-01,746.12
2009-07-01,749.68
2009-08-01,751.37
2009-09-01,754.95
2009-10-01,753.74
2009-11-01,757.67
2009-12-01,758.00
2010-01-01,761.94
2010-02-01,758.81
2010-03-01,763.64
2010-04-01,766.91
2010-05-01,768.27
2010-06-01,768.27
2010-07-01,772.58
2010-08-01,773.60
2010-09-01,777.58
2010-10-01,779.98
2010-11-01,779.64
2010-12-01,780.67
2011-01-01,781.81
2011-02-01,784.44
2011-03-01,784.44
2011-04-01,788.10
2011-05-01,790.51
2011-06-01,791.54
2011-07-01,794.64
2011-08-01,791.30
2011-09-01,795.33
2011-10-01,800.40
2011-11-01,797.74
2011-12-01,798.77
2012-01-01,802.13
2012-02-01,803.16
2012-03-01,805.92
2012-04-01,804.62
2012-05-01,804.96
2012-06-01,807.02
2012-07-01,808.40
2012-08-01,807.71
2012-09-01,810.81
2012-10-01,808.11
2012-11-01,812.87
2012-12-01,816.31
2013-01-01,817.00
2013-02-01,820.41
2013-03-01,821.10
2013-04-01,821.13
2013-05-01,824.21
2013-06-01,826.62
2013-07-01,824.91
2013-08-01,828.69
2013-09-01,827.66
2013-10-01,828.70
2013-11-01,831.10
2013-12-01,829.37
2014-01-01,833.51
2014-02-01,834.52
2014-03-01,839.04
2014-04-01,839.73
2014-05-01,841.80
2014-06-01,843.87
2014-07-01,844.56
2014-08-01,849.08
2014-09-01,846.98
2014-10-01,848.01
2014-11-01,853.24
2014-12-01,851.85
2015-01-01,853.88
2015-02-01,857.73
2015-03-01,857.67
2015-04-01,858.71
2015-05-01,861.47
2015-06-01,861.47
2015-07-01,862.50
2015-08-01,868.11
2015-09-01,866.30
2015-10-01,869.06
2015-11-01,871.13
2015-12-01,870.78
2016-01-01,878.15
2016-02-01,873.07
2016-03-01,875.48
2016-04-01,878.23
2016-05-01,879.95
2016-06-01,881.33
2016-07-01,883.74
2016-08-01,882.20
2016-09-01,886.49
2016-10-01,890.62
2016-11-01,888.37
2016-12-01,891.65
2017-01-01,894.40
2017-02-01,894.20
2017-03-01,895.57
2017-04-01,900.25
2017-05-01,901.62
2017-06-01,903.34
2017-07-01,906.78
2017-08-01,907.47
2017-09-01,908.61
2017-10-01,911.26
2017-11-01,915.29
2017-12-01,915.38
2018-01-01,919.51
2018-02-01,922.88
2018-03-01,926.67
2018-04-01,928.40
2018-05-01,930.81
2018-06-01,935.58
2018-07-01,934.61
2018-08-01,938.40
2018-09-01,939.81
2018-10-01,944.27
2018-11-01,943.94
2018-12-01,950.48
2019-01-01,951.86
2019-02-01,953.22
2019-03-01,959.10
2019-04-01,955.63
2019-05-01,958.38
2019-06-01,961.48
2019-07-01,963.89
2019-08-01,967.67
2019-09-01,969.05
2019-10-01,968.29
2019-11-01,972.41
2019-12-01,973.09
2020-01-01,975.49
2020-02-01,979.27
2020-03-01,978.18
2020-04-01,1026.34
2020-05-01,1031.28
2020-06-01,1016.55
2020-07-01,1016.55
2020-08-01,1022.96
2020-09-01,1026.95
2020-10-01,1030.95
2020-11-01,1031.12
2020-12-01,1040.52
2021-01-01,1044.56
2021-02-01,1040.08
2021-03-01,1052.10
2021-04-01,1057.35
2021-05-01,1060.61
2021-06-01,1062.79
2021-07-01,1069.69
2021-08-01,1067.72
2021-09-01,1077.06
2021-10-01,1080.91
2021-11-01,1087.15
2021-12-01,1092.72
2022-01-01,1091.24
2022-02-01,1098.26
2022-03-01,1104.85
2022-04-01,1108.67
2022-05-01,1109.97
2022-06-01,1114.12
2022-07-01,1118.62
2022-08-01,1119.18
2022-09-01,1125.88
2022-10-01,1131.42
2022-11-01,1132.64
2022-12-01,1133.14
2023-01-01,1144.22
2023-02-01,1143.68
2023-03-01,1145.86
2023-04-01,1146.99
2023-05-01,1153.78
2023-06-01,1159.28
2023-07-01,1160.71
2023-08-01,1166.50
2023-09-01,1169.94
2023-10-01,1169.63
2023-11-01,1177.51
2023-12-01,1181.30
2024-01-01,1180.24
2024-02-01,1185.41
2024-03-01,1193.34
2024-04-01,1191.93
2024-05-01,1197.07
2024-06-01,1200.50
2024-07-01,1199.39
2024-08-01,1208.39
2024-09-01,1209.31
