"Detailed food spending, Canada, regions and provinces 1 2 3 4 5"
"Frequency: Annual"
"Table: 11-10-0125-01 (formerly CANSIM 203-0028)"
"Release date: 2023-10-18"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Statistic","Average expenditure per household",,,,,,,,,,,,
,"Food expenditures, summary-level categories","Food expenditures 7","Food purchased from stores","Bakery products","Cereal grains and cereal products","Fruit, fruit preparations and nuts","Vegetables and vegetable preparations","Dairy products and eggs","Meat","Fish and seafood","Non-alcoholic beverages and other food products","Food purchased from restaurants","Restaurant meals","Restaurant snacks and beverages"
"Geography 6","Reference period"
,,"Dollars",,,,,,,,,,,,
"Canada","2010","7,850","5,709","581","359","713","616","899","1,027","199","1,315","2,141","1,885","256"
,"2011","7,791","5,573","560","335","669","621","857","1,012","200","1,319","2,218","1,950","268"
,"2012","7,760","5,564","531","359","696","578","855","1,042","178","1,326","2,195","1,921","274"
,"2013","7,934","5,718","567","320","698","652","876","1,044","200","1,362","2,216","1,963","253"
,"2014","8,109","5,880","562","327","719","675","864","1,182","211","1,342","2,229","1,959","270"
,"2015","8,629","6,126","574","341","755","710","903","1,194","213","1,437","2,502","2,222","281"
,"2016","8,784","6,176","578","347","781","718","888","1,163","203","1,499","2,608","2,303","305"
,"2017","8,968","6,364","588","360","795","787","914","1,165","219","1,536","2,604","2,284","320"
,"2018","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2019","10,311","7,536","687","420","930","974","1,049","1,481","274","1,721","2,775","2,458","316"
,"2020","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2021","10,305","8,065","698","464","1,030","967","1,161","1,517","305","1,923","2,189","1,963","226"
"Atlantic Region","2010","7,237","5,516","574","365","620","557","857","1,022","188","1,333","1,720","1,445","276"
,"2011","7,484","5,657","588","362","604","583","857","1,063","180","1,419","1,828","1,535","293"
,"2012","7,357","5,437","547","340","584","541","812","1,004","169","1,441","1,920","1,606","314"
,"2013","7,143","5,378","553","328","626","586","827","913","158","1,387","1,765","1,507","258"
,"2014","7,779","5,843","610","345","609","605","861","1,134","208","1,470","1,936","1,629","307"
,"2015","7,824","5,892","591","336","644","611","864","1,210","145","1,491","1,932","1,630","303"
,"2016","8,061","5,971","594","369","626","622","880","1,196","180","1,504","2,090","1,792","299"
,"2017","7,973","6,030","603","390","647","645","891","1,140","172","1,542","1,943","1,647","296"
,"2018","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2019","9,295","6,971","671","410","700","777","1,015","1,431","192","1,776","2,324","1,999","325"
,"2020","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2021","10,088","7,833","764","507","817","823","1,142","1,485","250","2,046","2,213","1,943","270"
"Quebec","2010","7,409","5,565","628","283","637","588","951","1,017","223","1,238","1,844","1,686","158"
,"2011","7,455","5,466","627","279","648","629","851","1,005","203","1,224","1,989","1,818","171"
,"2012","7,715","5,770","645","289","681","593","980","1,105","203","1,273","1,945","1,784","161"
,"2013","7,892","5,929","652","312","673","637","986","1,106","246","1,317","1,963","1,786","178"
,"2014","7,771","5,903","608","295","702","632","972","1,178","257","1,259","1,868","1,721","146"
,"2015","8,154","6,292","685","313","736","676","1,010","1,217","233","1,421","1,863","1,684","178"
,"2016","8,474","6,288","639","320","779","742","945","1,170","223","1,469","2,186","1,991","194"
,"2017","8,199","6,209","641","329","757","725","1,018","1,105","285","1,348","1,990","1,782","208"
,"2018","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2019","9,847","7,364","753","375","839","909","1,044","1,469","319","1,656","2,483","2,282","200"
,"2020","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2021","9,731","7,895","736","413","947","923","1,087","1,548","380","1,860","1,775","1,625","149"
"Ontario","2010","7,737","5,562","578","353","739","582","853","1,005","202","1,251","2,175","1,891","284"
,"2011","7,799","5,477","546","325","670","621","832","996","216","1,270","2,322","2,022","300"
,"2012","7,462","5,324","490","389","711","546","761","1,037","148","1,243","2,139","1,844","295"
,"2013","7,751","5,511","523","305","712","648","754","1,069","203","1,298","2,240","1,943","298"
,"2014","8,102","5,779","562","332","738","718","776","1,200","215","1,237","2,324","2,043","281"
,"2015","8,475","5,658","517","315","733","698","783","1,079","228","1,305","2,817","2,494","322"
,"2016","8,747","5,922","563","329","793","693","830","1,079","201","1,435","2,825","2,486","339"
,"2017","9,098","6,167","578","319","800","778","775","1,151","200","1,565","2,932","2,572","360"
,"2018","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2019","10,418","7,603","673","416","1,057","1,023","998","1,500","304","1,630","2,816","2,469","347"
,"2020","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2021","9,822","7,840","661","446","1,064","979","1,117","1,492","288","1,793","1,954","1,729","225"
"Prairie Region","2010","8,340","5,973","518","433","737","640","890","1,117","169","1,469","2,367","2,071","296"
,"2011","8,150","5,788","505","395","692","597","870","1,078","167","1,485","2,362","2,040","322"
,"2012","8,118","5,662","475","373","689","578","881","1,024","155","1,486","2,457","2,151","306"
,"2013","8,576","6,002","554","353","768","655","943","1,029","154","1,546","2,575","2,321","254"
,"2014","8,671","6,197","517","361","726","644","922","1,277","169","1,579","2,474","2,151","323"
,"2015","9,565","6,709","538","395","796","776","976","1,439","180","1,608","2,856","2,553","302"
,"2016","9,334","6,506","579","404","795","711","921","1,259","167","1,670","2,828","2,469","359"
,"2017","9,595","6,844","584","422","823","835","1,022","1,306","170","1,683","2,751","2,387","364"
,"2018","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2019","10,897","7,856","661","486","866","1,030","1,119","1,550","207","1,936","3,041","2,666","375"
,"2020","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2021","11,461","8,793","665","542","1,130","1,023","1,320","1,697","307","2,110","2,579","2,275","305"
"British Columbia","2010","8,732","6,175","579","421","805","772","961","1,001","193","1,442","2,557","2,253","304"
,"2011","8,121","5,729","528","378","714","655","921","959","201","1,374","2,392","2,113","280"
,"2012","8,438","5,793","491","402","750","660","868","978","247","1,395","2,645","2,275","371"
,"2013","8,118","5,712","549","331","653","723","951","946","183","1,375","2,406","2,136","271"
,"2014","8,218","5,731","512","315","743","713","828","1,037","166","1,415","2,487","2,103","384"
,"2015","9,168","6,491","561","398","863","772","963","1,142","207","1,585","2,677","2,358","320"
,"2016","9,139","6,359","497","360","810","800","905","1,245","229","1,512","2,780","2,430","350"
,"2017","9,734","6,760","516","437","892","937","980","1,147","239","1,611","2,975","2,606","369"
,"2018","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2019","10,639","7,553","645","433","938","988","1,133","1,391","235","1,788","3,086","2,724","363"
,"2020","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"2021","11,341","8,208","739","486","1,071","1,013","1,226","1,325","245","2,103","3,075","2,828","247"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"This table includes the data previously found in table 11-10-0217-01 (formerly CANSIM table 203-0029), which has been archived."
2,"For more information about survey methodology, data quality, variable definitions and data products, see the Survey of Household Spending User Guide (catalogue number 62F0026MIE) available free on the Statistics Canada website: <a href="https://www5.statcan.gc.ca/olc-cel/olc.action?ObjId=62F0026M&ObjType=2&lang=en&limit=0">Household expenditures research papers series</a>."
3,"Starting with the 2017 reference year, the Survey of Household Spending (SHS) uses survey weights which take into account population projections from the 2016 Census. Estimates from SHS 2010 to 2016 are based on survey weights which take into account population projections from the 2011 Census."
4,"To ensure data quality, suppression of expenditure estimates is based on the coefficient of variation (CV). Expenditures that have a CV greater than or equal to 35% are suppressed as they are too unreliable to be published."
5,"Starting with the 2017 reference year, the Survey of Household Spending is conducted every two years."
6,"Canada-level statistics include the 10 provinces only."
7,"Does not include day board paid to other private households, which is now included in childcare expenses in household operations."



"How to cite: Statistics Canada. Table 11-10-0125-01  Detailed food spending, Canada, regions and provinces"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110012501
