Category: All categories,
,
Month,gdp: (Canada)
2004-01,57
2004-02,48
2004-03,44
2004-04,49
2004-05,42
2004-06,31
2004-07,30
2004-08,22
2004-09,41
2004-10,48
2004-11,49
2004-12,38
2005-01,45
2005-02,50
2005-03,49
2005-04,46
2005-05,43
2005-06,35
2005-07,31
2005-08,21
2005-09,37
2005-10,42
2005-11,48
2005-12,42
2006-01,43
2006-02,41
2006-03,47
2006-04,38
2006-05,38
2006-06,32
2006-07,24
2006-08,21
2006-09,29
2006-10,39
2006-11,43
2006-12,28
2007-01,36
2007-02,42
2007-03,38
2007-04,35
2007-05,36
2007-06,32
2007-07,23
2007-08,19
2007-09,32
2007-10,37
2007-11,44
2007-12,29
2008-01,39
2008-02,41
2008-03,37
2008-04,35
2008-05,33
2008-06,32
2008-07,22
2008-08,21
2008-09,42
2008-10,46
2008-11,44
2008-12,30
2009-01,50
2009-02,47
2009-03,46
2009-04,40
2009-05,31
2009-06,29
2009-07,24
2009-08,20
2009-09,31
2009-10,42
2009-11,42
2009-12,32
2010-01,47
2010-02,49
2010-03,46
2010-04,42
2010-05,44
2010-06,38
2010-07,26
2010-08,24
2010-09,35
2010-10,41
2010-11,45
2010-12,33
2011-01,46
2011-02,46
2011-03,41
2011-04,40
2011-05,31
2011-06,30
2011-07,30
2011-08,34
2011-09,37
2011-10,46
2011-11,52
2011-12,35
2012-01,44
2012-02,48
2012-03,41
2012-04,39
2012-05,35
2012-06,34
2012-07,25
2012-08,23
2012-09,37
2012-10,41
2012-11,43
2012-12,30
2013-01,43
2013-02,45
2013-03,40
2013-04,42
2013-05,32
2013-06,27
2013-07,23
2013-08,21
2013-09,32
2013-10,41
2013-11,39
2013-12,33
2014-01,47
2014-02,52
2014-03,46
2014-04,41
2014-05,41
2014-06,37
2014-07,29
2014-08,23
2014-09,42
2014-10,46
2014-11,48
2014-12,40
2015-01,53
2015-02,51
2015-03,51
2015-04,48
2015-05,43
2015-06,42
2015-07,42
2015-08,38
2015-09,46
2015-10,53
2015-11,48
2015-12,43
2016-01,55
2016-02,58
2016-03,52
2016-04,50
2016-05,42
2016-06,42
2016-07,31
2016-08,28
2016-09,47
2016-10,50
2016-11,53
2016-12,44
2017-01,58
2017-02,62
2017-03,53
2017-04,43
2017-05,46
2017-06,42
2017-07,35
2017-08,30
2017-09,46
2017-10,50
2017-11,47
2017-12,46
2018-01,56
2018-02,54
2018-03,51
2018-04,52
2018-05,47
2018-06,50
2018-07,45
2018-08,39
2018-09,47
2018-10,50
2018-11,53
2018-12,49
2019-01,54
2019-02,55
2019-03,51
2019-04,48
2019-05,44
2019-06,44
2019-07,39
2019-08,41
2019-09,51
2019-10,61
2019-11,48
2019-12,46
2020-01,57
2020-02,57
2020-03,64
2020-04,67
2020-05,54
2020-06,44
2020-07,45
2020-08,43
2020-09,50
2020-10,53
2020-11,44
2020-12,40
2021-01,44
2021-02,50
2021-03,48
2021-04,46
2021-05,40
2021-06,39
2021-07,35
2021-08,31
2021-09,45
2021-10,47
2021-11,44
2021-12,39
2022-01,63
2022-02,100
2022-03,93
2022-04,79
2022-05,59
2022-06,54
2022-07,56
2022-08,45
2022-09,60
2022-10,69
2022-11,63
2022-12,61
2023-01,80
2023-02,80
2023-03,73
2023-04,64
2023-05,59
2023-06,58
2023-07,67
2023-08,51
2023-09,70
2023-10,77
2023-11,69
2023-12,66
2024-01,81
2024-02,90
2024-03,83
2024-04,77
2024-05,65
2024-06,61
2024-07,61
