DATE,RECPROUSM156N
1967-06-01,0.8
1967-07-01,0.28
1967-08-01,0.0
1967-09-01,0.32
1967-10-01,0.06
1967-11-01,0.0
1967-12-01,0.04
1968-01-01,1.3
1968-02-01,0.06
1968-03-01,0.1
1968-04-01,0.08
1968-05-01,0.02
1968-06-01,0.02
1968-07-01,0.06
1968-08-01,0.08
1968-09-01,0.02
1968-10-01,0.0
1968-11-01,0.0
1968-12-01,0.02
1969-01-01,0.02
1969-02-01,0.0
1969-03-01,0.02
1969-04-01,0.08
1969-05-01,0.06
1969-06-01,0.02
1969-07-01,0.18
1969-08-01,0.4
1969-09-01,4.74
1969-10-01,8.22
1969-11-01,37.72
1969-12-01,41.38
1970-01-01,52.44
1970-02-01,43.28
1970-03-01,43.82
1970-04-01,47.04
1970-05-01,44.58
1970-06-01,42.68
1970-07-01,43.64
1970-08-01,61.44
1970-09-01,79.6
1970-10-01,86.5
1970-11-01,33.44
1970-12-01,0.0
1971-01-01,0.1
1971-02-01,1.4
1971-03-01,0.66
1971-04-01,0.06
1971-05-01,0.02
1971-06-01,0.14
1971-07-01,0.36
1971-08-01,0.24
1971-09-01,0.02
1971-10-01,0.02
1971-11-01,0.0
1971-12-01,0.0
1972-01-01,0.0
1972-02-01,0.04
1972-03-01,0.0
1972-04-01,0.02
1972-05-01,0.02
1972-06-01,0.04
1972-07-01,0.12
1972-08-01,0.0
1972-09-01,0.02
1972-10-01,0.0
1972-11-01,0.0
1972-12-01,0.0
1973-01-01,0.04
1973-02-01,0.0
1973-03-01,0.34
1973-04-01,0.38
1973-05-01,0.06
1973-06-01,0.1
1973-07-01,0.12
1973-08-01,0.14
1973-09-01,0.0
1973-10-01,0.04
1973-11-01,1.2
1973-12-01,33.88
1974-01-01,37.72
1974-02-01,33.18
1974-03-01,31.12
1974-04-01,30.26
1974-05-01,28.9
1974-06-01,40.04
1974-07-01,51.08
1974-08-01,81.48
1974-09-01,85.56
1974-10-01,94.88
1974-11-01,99.98
1974-12-01,99.98
1975-01-01,99.9
1975-02-01,99.76
1975-03-01,94.24
1975-04-01,18.62
1975-05-01,3.2
1975-06-01,0.7
1975-07-01,0.04
1975-08-01,0.02
1975-09-01,0.12
1975-10-01,0.08
1975-11-01,0.14
1975-12-01,0.0
1976-01-01,0.0
1976-02-01,0.0
1976-03-01,0.08
1976-04-01,0.08
1976-05-01,0.08
1976-06-01,0.02
1976-07-01,0.02
1976-08-01,0.0
1976-09-01,0.06
1976-10-01,0.12
1976-11-01,0.0
1976-12-01,0.0
1977-01-01,0.44
1977-02-01,0.0
1977-03-01,0.0
1977-04-01,0.0
1977-05-01,0.0
1977-06-01,0.02
1977-07-01,0.02
1977-08-01,0.0
1977-09-01,0.0
1977-10-01,0.0
1977-11-01,0.06
1977-12-01,1.06
1978-01-01,12.92
1978-02-01,0.06
1978-03-01,0.0
1978-04-01,0.0
1978-05-01,0.26
1978-06-01,0.1
1978-07-01,0.22
1978-08-01,0.06
1978-09-01,0.04
1978-10-01,0.0
1978-11-01,0.0
1978-12-01,0.14
1979-01-01,1.74
1979-02-01,0.88
1979-03-01,1.38
1979-04-01,31.38
1979-05-01,1.28
1979-06-01,1.82
1979-07-01,2.96
1979-08-01,3.28
1979-09-01,2.48
1979-10-01,2.0
1979-11-01,2.76
1979-12-01,4.18
1980-01-01,7.64
1980-02-01,43.26
1980-03-01,87.7
1980-04-01,99.78
1980-05-01,99.8
1980-06-01,88.22
1980-07-01,33.9
1980-08-01,0.42
1980-09-01,0.04
1980-10-01,0.0
1980-11-01,0.02
1980-12-01,0.56
1981-01-01,2.58
1981-02-01,2.2
1981-03-01,1.44
1981-04-01,1.6
1981-05-01,1.4
1981-06-01,1.74
1981-07-01,3.84
1981-08-01,49.92
1981-09-01,82.4
1981-10-01,93.54
1981-11-01,95.98
1981-12-01,95.66
1982-01-01,93.48
1982-02-01,14.64
1982-03-01,65.7
1982-04-01,76.8
1982-05-01,80.24
1982-06-01,83.26
1982-07-01,83.92
1982-08-01,82.96
1982-09-01,79.98
1982-10-01,76.7
1982-11-01,40.78
1982-12-01,16.68
1983-01-01,0.82
1983-02-01,1.58
1983-03-01,0.08
1983-04-01,0.0
1983-05-01,0.0
1983-06-01,0.02
1983-07-01,0.0
1983-08-01,0.12
1983-09-01,0.0
1983-10-01,0.02
1983-11-01,0.02
1983-12-01,0.0
1984-01-01,0.0
1984-02-01,0.0
1984-03-01,0.0
1984-04-01,0.02
1984-05-01,0.0
1984-06-01,0.02
1984-07-01,0.0
1984-08-01,0.06
1984-09-01,0.06
1984-10-01,0.1
1984-11-01,0.04
1984-12-01,0.06
1985-01-01,0.06
1985-02-01,0.02
1985-03-01,0.0
1985-04-01,0.24
1985-05-01,0.08
1985-06-01,0.36
1985-07-01,0.48
1985-08-01,0.02
1985-09-01,0.04
1985-10-01,0.1
1985-11-01,0.04
1985-12-01,0.06
1986-01-01,0.14
1986-02-01,0.32
1986-03-01,0.26
1986-04-01,0.12
1986-05-01,0.12
1986-06-01,0.32
1986-07-01,0.0
1986-08-01,0.04
1986-09-01,0.0
1986-10-01,0.04
1986-11-01,0.04
1986-12-01,0.02
1987-01-01,0.92
1987-02-01,0.0
1987-03-01,0.0
1987-04-01,0.02
1987-05-01,0.0
1987-06-01,0.04
1987-07-01,0.0
1987-08-01,0.02
1987-09-01,0.02
1987-10-01,0.0
1987-11-01,0.04
1987-12-01,0.02
1988-01-01,0.32
1988-02-01,0.0
1988-03-01,0.02
1988-04-01,0.04
1988-05-01,0.08
1988-06-01,0.02
1988-07-01,0.06
1988-08-01,0.06
1988-09-01,0.08
1988-10-01,0.0
1988-11-01,0.0
1988-12-01,0.02
1989-01-01,0.12
1989-02-01,0.56
1989-03-01,0.5
1989-04-01,0.76
1989-05-01,1.38
1989-06-01,1.06
1989-07-01,1.28
1989-08-01,0.28
1989-09-01,0.2
1989-10-01,0.24
1989-11-01,0.08
1989-12-01,0.1
1990-01-01,0.18
1990-02-01,0.08
1990-03-01,0.38
1990-04-01,1.4
1990-05-01,1.92
1990-06-01,3.9
1990-07-01,11.72
1990-08-01,24.0
1990-09-01,42.64
1990-10-01,63.44
1990-11-01,67.22
1990-12-01,66.04
1991-01-01,64.36
1991-02-01,57.08
1991-03-01,37.82
1991-04-01,5.68
1991-05-01,0.94
1991-06-01,0.36
1991-07-01,0.42
1991-08-01,0.4
1991-09-01,0.26
1991-10-01,0.36
1991-11-01,0.52
1991-12-01,0.52
1992-01-01,0.24
1992-02-01,0.08
1992-03-01,0.1
1992-04-01,0.04
1992-05-01,0.04
1992-06-01,0.1
1992-07-01,0.06
1992-08-01,0.5
1992-09-01,0.14
1992-10-01,0.02
1992-11-01,0.08
1992-12-01,0.0
1993-01-01,0.04
1993-02-01,0.06
1993-03-01,0.58
1993-04-01,0.06
1993-05-01,0.12
1993-06-01,0.1
1993-07-01,0.08
1993-08-01,0.12
1993-09-01,0.0
1993-10-01,0.04
1993-11-01,0.02
1993-12-01,0.0
1994-01-01,0.04
1994-02-01,0.08
1994-03-01,0.04
1994-04-01,0.06
1994-05-01,0.02
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.0
1994-11-01,0.02
1994-12-01,0.02
1995-01-01,0.12
1995-02-01,0.34
1995-03-01,0.26
1995-04-01,0.3
1995-05-01,0.1
1995-06-01,0.06
1995-07-01,0.2
1995-08-01,0.02
1995-09-01,0.08
1995-10-01,0.1
1995-11-01,0.06
1995-12-01,0.08
1996-01-01,0.42
1996-02-01,0.0
1996-03-01,0.1
1996-04-01,0.04
1996-05-01,0.02
1996-06-01,0.0
1996-07-01,0.22
1996-08-01,0.04
1996-09-01,0.04
1996-10-01,0.04
1996-11-01,0.0
1996-12-01,0.04
1997-01-01,0.02
1997-02-01,0.0
1997-03-01,0.02
1997-04-01,0.06
1997-05-01,0.02
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.02
1998-01-01,0.02
1998-02-01,0.04
1998-03-01,0.04
1998-04-01,0.02
1998-05-01,0.0
1998-06-01,0.62
1998-07-01,0.34
1998-08-01,0.0
1998-09-01,0.02
1998-10-01,0.04
1998-11-01,0.04
1998-12-01,0.04
1999-01-01,0.06
1999-02-01,0.0
1999-03-01,0.08
1999-04-01,0.04
1999-05-01,0.02
1999-06-01,0.04
1999-07-01,0.02
1999-08-01,0.02
1999-09-01,0.14
1999-10-01,0.02
1999-11-01,0.06
1999-12-01,0.02
2000-01-01,0.14
2000-02-01,0.18
2000-03-01,0.0
2000-04-01,0.06
2000-05-01,0.32
2000-06-01,0.38
2000-07-01,0.58
2000-08-01,0.98
2000-09-01,1.34
2000-10-01,3.34
2000-11-01,4.88
2000-12-01,9.24
2001-01-01,18.48
2001-02-01,24.22
2001-03-01,30.24
2001-04-01,36.14
2001-05-01,35.74
2001-06-01,36.36
2001-07-01,35.88
2001-08-01,33.92
2001-09-01,33.72
2001-10-01,27.12
2001-11-01,21.98
2001-12-01,9.86
2002-01-01,3.96
2002-02-01,2.6
2002-03-01,1.06
2002-04-01,0.72
2002-05-01,0.54
2002-06-01,0.44
2002-07-01,0.98
2002-08-01,0.8
2002-09-01,0.74
2002-10-01,0.54
2002-11-01,0.48
2002-12-01,1.06
2003-01-01,0.48
2003-02-01,1.08
2003-03-01,0.9
2003-04-01,0.54
2003-05-01,0.24
2003-06-01,0.16
2003-07-01,0.16
2003-08-01,0.22
2003-09-01,0.1
2003-10-01,0.1
2003-11-01,0.06
2003-12-01,0.2
2004-01-01,0.22
2004-02-01,0.06
2004-03-01,0.04
2004-04-01,0.04
2004-05-01,0.06
2004-06-01,1.02
2004-07-01,0.08
2004-08-01,0.12
2004-09-01,0.1
2004-10-01,0.06
2004-11-01,0.1
2004-12-01,0.04
2005-01-01,0.04
2005-02-01,0.04
2005-03-01,0.14
2005-04-01,0.06
2005-05-01,0.06
2005-06-01,0.06
2005-07-01,0.48
2005-08-01,2.06
2005-09-01,9.5
2005-10-01,0.18
2005-11-01,0.02
2005-12-01,0.02
2006-01-01,0.06
2006-02-01,0.06
2006-03-01,0.04
2006-04-01,0.28
2006-05-01,0.24
2006-06-01,0.14
2006-07-01,0.14
2006-08-01,0.1
2006-09-01,0.2
2006-10-01,0.18
2006-11-01,0.08
2006-12-01,0.06
2007-01-01,0.38
2007-02-01,0.12
2007-03-01,0.08
2007-04-01,0.1
2007-05-01,0.28
2007-06-01,0.42
2007-07-01,0.72
2007-08-01,0.64
2007-09-01,0.58
2007-10-01,1.56
2007-11-01,2.24
2007-12-01,7.86
2008-01-01,22.06
2008-02-01,47.24
2008-03-01,65.66
2008-04-01,79.44
2008-05-01,86.62
2008-06-01,90.92
2008-07-01,97.4
2008-08-01,99.62
2008-09-01,99.98
2008-10-01,92.24
2008-11-01,99.84
2008-12-01,99.98
2009-01-01,99.98
2009-02-01,99.94
2009-03-01,99.92
2009-04-01,98.1
2009-05-01,90.42
2009-06-01,68.12
2009-07-01,4.2
2009-08-01,1.2
2009-09-01,0.58
2009-10-01,0.34
2009-11-01,0.1
2009-12-01,0.12
2010-01-01,0.08
2010-02-01,0.14
2010-03-01,0.02
2010-04-01,0.02
2010-05-01,0.04
2010-06-01,0.4
2010-07-01,0.22
2010-08-01,0.1
2010-09-01,0.06
2010-10-01,0.04
2010-11-01,0.04
2010-12-01,0.02
2011-01-01,0.02
2011-02-01,0.16
2011-03-01,0.04
2011-04-01,0.2
2011-05-01,0.16
2011-06-01,0.04
2011-07-01,0.0
2011-08-01,0.04
2011-09-01,0.14
2011-10-01,0.0
2011-11-01,0.08
2011-12-01,0.0
2012-01-01,0.02
2012-02-01,0.04
2012-03-01,0.26
2012-04-01,0.06
2012-05-01,0.14
2012-06-01,0.22
2012-07-01,0.14
2012-08-01,0.2
2012-09-01,0.06
2012-10-01,0.02
2012-11-01,0.0
2012-12-01,0.06
2013-01-01,0.06
2013-02-01,0.04
2013-03-01,0.06
2013-04-01,0.1
2013-05-01,0.06
2013-06-01,0.18
2013-07-01,0.2
2013-08-01,0.04
2013-09-01,0.04
2013-10-01,0.06
2013-11-01,0.04
2013-12-01,0.16
2014-01-01,0.22
2014-02-01,0.04
2014-03-01,0.02
2014-04-01,0.06
2014-05-01,0.1
2014-06-01,0.06
2014-07-01,0.06
2014-08-01,0.1
2014-09-01,0.08
2014-10-01,0.06
2014-11-01,0.08
2014-12-01,0.16
2015-01-01,1.22
2015-02-01,1.46
2015-03-01,1.38
2015-04-01,0.88
2015-05-01,1.06
2015-06-01,0.86
2015-07-01,0.5
2015-08-01,0.62
2015-09-01,0.62
2015-10-01,0.88
2015-11-01,1.26
2015-12-01,0.86
2016-01-01,0.64
2016-02-01,0.7
2016-03-01,0.84
2016-04-01,0.5
2016-05-01,0.4
2016-06-01,0.16
2016-07-01,0.16
2016-08-01,0.22
2016-09-01,0.24
2016-10-01,0.28
2016-11-01,0.16
2016-12-01,0.06
2017-01-01,0.2
2017-02-01,0.26
2017-03-01,0.06
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,0.08
