Category: All categories,
,
Month,jobs: (Canada)
2004-01,50
2004-02,50
2004-03,47
2004-04,50
2004-05,53
2004-06,50
2004-07,47
2004-08,48
2004-09,47
2004-10,42
2004-11,40
2004-12,34
2005-01,46
2005-02,46
2005-03,47
2005-04,45
2005-05,48
2005-06,45
2005-07,44
2005-08,44
2005-09,42
2005-10,38
2005-11,38
2005-12,32
2006-01,47
2006-02,44
2006-03,44
2006-04,45
2006-05,50
2006-06,42
2006-07,45
2006-08,44
2006-09,44
2006-10,40
2006-11,38
2006-12,32
2007-01,44
2007-02,42
2007-03,42
2007-04,42
2007-05,48
2007-06,42
2007-07,43
2007-08,42
2007-09,42
2007-10,39
2007-11,39
2007-12,31
2008-01,46
2008-02,43
2008-03,46
2008-04,46
2008-05,45
2008-06,45
2008-07,50
2008-08,44
2008-09,47
2008-10,44
2008-11,41
2008-12,37
2009-01,53
2009-02,52
2009-03,53
2009-04,55
2009-05,58
2009-06,58
2009-07,54
2009-08,54
2009-09,57
2009-10,53
2009-11,54
2009-12,46
2010-01,63
2010-02,62
2010-03,70
2010-04,65
2010-05,69
2010-06,66
2010-07,63
2010-08,67
2010-09,62
2010-10,57
2010-11,56
2010-12,48
2011-01,67
2011-02,65
2011-03,67
2011-04,65
2011-05,70
2011-06,64
2011-07,64
2011-08,70
2011-09,71
2011-10,100
2011-11,61
2011-12,49
2012-01,65
2012-02,68
2012-03,67
2012-04,66
2012-05,66
2012-06,67
2012-07,66
2012-08,64
2012-09,67
2012-10,63
2012-11,58
2012-12,50
2013-01,70
2013-02,70
2013-03,70
2013-04,72
2013-05,71
2013-06,67
2013-07,69
2013-08,71
2013-09,72
2013-10,67
2013-11,65
2013-12,57
2014-01,79
2014-02,77
2014-03,78
2014-04,76
2014-05,77
2014-06,74
2014-07,71
2014-08,72
2014-09,77
2014-10,68
2014-11,66
2014-12,58
2015-01,79
2015-02,80
2015-03,80
2015-04,77
2015-05,81
2015-06,77
2015-07,72
2015-08,75
2015-09,78
2015-10,72
2015-11,66
2015-12,59
2016-01,82
2016-02,78
2016-03,78
2016-04,79
2016-05,77
2016-06,74
2016-07,67
2016-08,68
2016-09,73
2016-10,66
2016-11,66
2016-12,54
2017-01,72
2017-02,74
2017-03,76
2017-04,68
2017-05,70
2017-06,66
2017-07,66
2017-08,66
2017-09,64
2017-10,63
2017-11,61
2017-12,51
2018-01,72
2018-02,65
2018-03,68
2018-04,68
2018-05,69
2018-06,68
2018-07,68
2018-08,68
2018-09,69
2018-10,64
2018-11,64
2018-12,55
2019-01,79
2019-02,70
2019-03,72
2019-04,68
2019-05,70
2019-06,67
2019-07,71
2019-08,68
2019-09,70
2019-10,69
2019-11,66
2019-12,62
2020-01,81
2020-02,77
2020-03,58
2020-04,44
2020-05,57
2020-06,67
2020-07,66
2020-08,67
2020-09,67
2020-10,61
2020-11,56
2020-12,49
2021-01,60
2021-02,61
2021-03,58
2021-04,55
2021-05,53
2021-06,53
2021-07,53
2021-08,58
2021-09,56
2021-10,59
2021-11,54
2021-12,48
2022-01,62
2022-02,62
2022-03,66
2022-04,63
2022-05,62
2022-06,63
2022-07,62
2022-08,65
2022-09,64
2022-10,57
2022-11,53
2022-12,52
2023-01,73
2023-02,68
2023-03,70
2023-04,66
2023-05,70
2023-06,66
2023-07,62
2023-08,65
2023-09,67
2023-10,65
2023-11,61
2023-12,55
2024-01,71
2024-02,72
2024-03,67
2024-04,70
2024-05,69
2024-06,64
2024-07,64
