"Employment, average hourly and weekly earnings (including overtime), and average weekly hours for the industrial aggregate excluding unclassified businesses, monthly, seasonally adjusted c 1 2 3 4 5 6 7 8 9 10 11"
"Frequency: Monthly"
"Table: 14-10-0222-01 (formerly CANSIM 281-0049)"
"Release date: 2024-06-27"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada"
"Estimate","Average weekly earnings including overtime for all employees"
"Reference period"
,"Dollars"
"January 2001","657.14"
"February 2001","653.59"
"March 2001","655.14"
"April 2001","652.44"
"May 2001","652.28"
"June 2001","656.81"
"July 2001","656.43"
"August 2001","659.47"
"September 2001","659.90"
"October 2001","660.91"
"November 2001","659.72"
"December 2001","660.40"
"January 2002","663.15"
"February 2002","659.88"
"March 2002","667.23"
"April 2002","672.20"
"May 2002","671.50"
"June 2002","670.39"
"July 2002","676.83"
"August 2002","672.19"
"September 2002","674.01"
"October 2002","679.38"
"November 2002","680.49"
"December 2002","685.25"
"January 2003","680.53"
"February 2003","686.99"
"March 2003","682.45"
"April 2003","685.87"
"May 2003","684.90"
"June 2003","691.56"
"July 2003","690.92"
"August 2003","694.31"
"September 2003","697.41"
"October 2003","697.03"
"November 2003","700.40"
"December 2003","698.62"
"January 2004","702.03"
"February 2004","701.62"
"March 2004","705.31"
"April 2004","704.20"
"May 2004","710.09"
"June 2004","705.87"
"July 2004","708.80"
"August 2004","711.52"
"September 2004","710.47"
"October 2004","712.26"
"November 2004","717.19"
"December 2004","719.61"
"January 2005","725.39"
"February 2005","731.84"
"March 2005","725.45"
"April 2005","728.74"
"May 2005","733.13"
"June 2005","735.61"
"July 2005","735.92"
"August 2005","741.47"
"September 2005","749.39"
"October 2005","745.57"
"November 2005","744.80"
"December 2005","743.89"
"January 2006","745.72"
"February 2006","745.57"
"March 2006","748.33"
"April 2006","750.54"
"May 2006","751.00"
"June 2006","751.81"
"July 2006","754.53"
"August 2006","758.86"
"September 2006","756.50"
"October 2006","762.11"
"November 2006","760.86"
"December 2006","772.55"
"January 2007","773.79"
"February 2007","770.98"
"March 2007","780.66"
"April 2007","781.51"
"May 2007","785.97"
"June 2007","790.69"
"July 2007","791.74"
"August 2007","789.25"
"September 2007","790.64"
"October 2007","793.85"
"November 2007","799.47"
"December 2007","798.30"
"January 2008","797.95"
"February 2008","803.40"
"March 2008","805.19"
"April 2008","808.86"
"May 2008","808.49"
"June 2008","809.43"
"July 2008","810.91"
"August 2008","811.54"
"September 2008","813.31"
"October 2008","817.91"
"November 2008","818.51"
"December 2008","813.15"
"January 2009","815.84"
"February 2009","818.47"
"March 2009","819.90"
"April 2009","817.54"
"May 2009","818.03"
"June 2009","821.16"
"July 2009","822.17"
"August 2009","821.77"
"September 2009","826.91"
"October 2009","825.25"
"November 2009","828.01"
"December 2009","832.92"
"January 2010","834.25"
"February 2010","841.39"
"March 2010","841.90"
"April 2010","845.63"
"May 2010","846.94"
"June 2010","850.19"
"July 2010","853.46"
"August 2010","858.50"
"September 2010","864.29"
"October 2010","859.99"
"November 2010","863.71"
"December 2010","866.26"
"January 2011","872.64"
"February 2011","870.81"
"March 2011","870.32"
"April 2011","870.09"
"May 2011","871.42"
"June 2011","870.30"
"July 2011","868.77"
