index,"Crude oil, average"
1986-01-01,24.68
1986-02-01,15.92
1986-03-01,12.65
1986-04-01,11.9
1986-05-01,13.72
1986-06-01,11.85
1986-07-01,9.62
1986-08-01,13.7
1986-09-01,14.08
1986-10-01,13.95
1986-11-01,14.45
1986-12-01,15.68
1987-01-01,18.07
1987-02-01,17.25
1987-03-01,17.75
1987-04-01,17.9
1987-05-01,18.4
1987-06-01,18.72
1987-07-01,19.62
1987-08-01,18.82
1987-09-01,18.28
1987-10-01,18.57
1987-11-01,17.75
1987-12-01,16.63
1988-01-01,16.47
1988-02-01,15.85
1988-03-01,14.78
1988-04-01,16.47
1988-05-01,16.22
1988-06-01,15.33
1988-07-01,14.48
1988-08-01,14.55
1988-09-01,13.1
1988-10-01,12.18
1988-11-01,12.53
1988-12-01,14.65
1989-01-01,16.48
1989-02-01,16.35
1989-03-01,18.03
1989-04-01,19.2
1989-05-01,18.02
1989-06-01,17.63
1989-07-01,17.67
1989-08-01,16.88
1989-09-01,17.67
1989-10-01,18.42
1989-11-01,18.37
1989-12-01,19.35
1990-01-01,20.35
1990-02-01,19.6
1990-03-01,18.22
1990-04-01,16.55
1990-05-01,16.58
1990-06-01,15.27
1990-07-01,17.17
1990-08-01,26.4
1990-09-01,32.7
1990-10-01,34.5
1990-11-01,31.08
1990-12-01,26.13
1991-01-01,22.58
1991-02-01,18.13
1991-03-01,18.07
1991-04-01,18.47
1991-05-01,18.82
1991-06-01,17.93
1991-07-01,19.05
1991-08-01,19.37
1991-09-01,20.05
1991-10-01,21.47
1991-11-01,20.77
1991-12-01,17.75
1992-01-01,17.38
1992-02-01,17.62
1992-03-01,17.45
1992-04-01,18.63
1992-05-01,19.5
1992-06-01,20.83
1992-07-01,20.17
1992-08-01,19.62
1992-09-01,20.15
1992-10-01,20.08
1992-11-01,18.88
1992-12-01,17.93
1993-01-01,17.22
1993-02-01,18.17
1993-03-01,18.47
1993-04-01,18.43
1993-05-01,18.17
1993-06-01,17.47
1993-07-01,16.32
1993-08-01,16.48
1993-09-01,15.9
1993-10-01,16.52
1993-11-01,15.2
